"","","","bonf_res"
"1",0.368,0.368,0
"2",0.509,0.509,0
"3",0.156,0.156,0
"4",0.206,0.206,0
"5",0.738,0.738,0
"6",0.021,0.021,0
"7",0.135,0.135,0
"8",0.003,0.003,1
"9",0.205,0.205,0
"10",0.155,0.155,0
"11",0.283,0.283,0
"12",0.005,0.005,1
"13",0.126,0.126,0
"14",0.118,0.118,0
"15",0.069,0.069,0
"16",0.554,0.554,0
"17",0.011,0.011,1
"18",0.068,0.068,0
"19",0.068,0.068,0
"20",0.024,0.024,0
"21",0.095,0.095,0
"22",0.01,0.01,1
"23",0.776,0.776,0
"24",0.183,0.183,0
"25",0.056,0.056,0
"26",0.155,0.155,0
"27",0.06,0.06,0
"28",0.716,0.716,0
"29",0.315,0.315,0
"30",0.061,0.061,0
"31",0.138,0.138,0
"32",0.26,0.26,0
"33",0.028,0.028,0
"34",0.215,0.215,0
"35",0.592,0.592,0
"36",0.008,0.008,1
"37",0.049,0.049,0
"38",0.018,0.018,1
"39",0.081,0.081,0
"40",0.017,0.017,0
"41",0.105,0.105,0
"42",0.136,0.136,0
"43",0.067,0.067,0
"44",0.015,0.015,0
"45",0.08,0.08,0
"46",0.479,0.479,0
"47",0.323,0.323,0
"48",0.135,0.135,0
"49",0.309,0.309,0
"50",0.22,0.22,0
"51",0.708,0.708,0
"52",0.015,0.015,1
"53",0.413,0.413,0
"54",0.025,0.025,0
"55",0.043,0.043,1
"56",0.389,0.389,0
"57",0.006,0.006,1
"58",0.005,0.005,1
"59",0.538,0.538,0
"60",0.281,0.281,0
"61",0.516,0.516,0
"62",0.041,0.041,0
"63",0.053,0.053,0
"64",0.491,0.491,0
"65",0.099,0.099,0
"66",0.491,0.491,0
"67",0.008,0.008,1
"68",0.008,0.008,1
"69",0.656,0.656,0
"70",0.252,0.252,0
"71",0.004,0.004,1
"72",0.706,0.706,0
"73",0.373,0.373,0
"74",0.453,0.453,0
"75",0.57,0.57,0
"76",0.036,0.036,0
"77",0.644,0.644,0
"78",0.116,0.116,0
"79",0.725,0.725,0
"80",0.196,0.196,0
"81",0.572,0.572,0
"82",0.007,0.007,1
"83",0.216,0.216,0
"84",0.017,0.017,0
"85",0.132,0.132,0
"86",0.099,0.099,0
"87",0.262,0.262,0
"88",0.325,0.325,0
"89",0.148,0.148,0
"90",0.226,0.226,0
"91",0.149,0.149,0
"92",0.326,0.326,0
"93",0.268,0.268,0
"94",0.28,0.28,0
"95",0.567,0.567,0
"96",0.053,0.053,0
"97",0.1,0.1,0
"98",0.669,0.669,0
"99",0.479,0.479,0
"100",0.039,0.039,0
"101",0.474,0.474,0
"102",0.049,0.049,0
"103",0.276,0.276,0
"104",0.411,0.411,0
"105",0.523,0.523,0
"106",0.166,0.166,0
"107",0.325,0.325,0
"108",0.066,0.066,0
"109",0.509,0.509,0
"110",0.43,0.43,0
"111",0.093,0.093,0
"112",0.219,0.219,0
"113",0.634,0.634,0
"114",0.121,0.121,0
"115",0.166,0.166,0
"116",0.233,0.233,0
"117",0.495,0.495,0
"118",0.615,0.615,0
"119",0.108,0.108,0
"120",0.041,0.041,0
"121",0.01,0.01,1
"122",0.847,0.847,0
"123",0.09,0.09,0
"124",0.178,0.178,0
"125",0.002,0.002,1
"126",0.248,0.248,0
"127",0.216,0.216,0
"128",0.443,0.443,0
"129",0.611,0.611,0
"130",0.035,0.035,0
"131",0.404,0.404,0
"132",0.054,0.054,0
"133",0.008,0.008,1
"134",0.006,0.006,1
"135",0.214,0.214,0
"136",0.063,0.063,0
"137",0.288,0.288,0
"138",0.034,0.034,1
"139",0.454,0.454,0
"140",0.009,0.009,1
"141",0.474,0.474,0
"142",0.415,0.415,0
"143",0.483,0.483,0
"144",0.41,0.41,0
