"","","","bonf_res"
"1",0.336,0.336,0
"2",0.786,0.786,0
"3",0.313,0.313,0
"4",0.499,0.499,0
"5",0.737,0.737,0
"6",0.471,0.471,0
"7",0.183,0.183,0
"8",0.341,0.341,0
"9",0.105,0.105,0
"10",0.213,0.213,0
"11",0.873,0.873,0
"12",0.335,0.335,0
"13",0.775,0.775,0
"14",0.493,0.493,0
"15",0.879,0.879,0
"16",0.204,0.204,0
"17",0.16,0.16,0
"18",0.413,0.413,0
"19",0.411,0.411,0
"20",0.129,0.129,0
"21",0.076,0.076,0
"22",0.413,0.413,0
"23",0.952,0.952,0
"24",0.982,0.982,0
"25",0.959,0.959,0
"26",0.39,0.39,0
"27",0.768,0.768,0
"28",0.656,0.656,0
"29",0.485,0.485,0
"30",0.229,0.229,0
"31",0.658,0.658,0
"32",0.884,0.884,0
"33",0.269,0.269,0
"34",0.74,0.74,0
"35",0.717,0.717,0
"36",0.583,0.583,0
"37",0.721,0.721,0
"38",0.469,0.469,0
"39",0.743,0.743,0
"40",0.258,0.258,0
"41",0.266,0.266,0
"42",0.099,0.099,0
"43",0.895,0.895,0
"44",0.646,0.646,0
"45",0.273,0.273,0
"46",0.417,0.417,0
"47",0.263,0.263,0
"48",0.686,0.686,0
"49",0.316,0.316,0
"50",0.215,0.215,0
"51",0.043,0.043,0
"52",0.977,0.977,0
"53",0.171,0.171,0
"54",0.082,0.082,0
"55",0.593,0.593,0
"56",0.68,0.68,0
"57",0.592,0.592,0
"58",0.179,0.179,0
"59",0.971,0.971,0
"60",0.473,0.473,0
"61",0.973,0.973,0
"62",0.404,0.404,0
"63",0.604,0.604,0
"64",0.58,0.58,0
"65",0.779,0.779,0
"66",0.161,0.161,0
"67",0.775,0.775,0
"68",0.71,0.71,0
"69",0.982,0.982,0
"70",0.435,0.435,0
"71",0.862,0.862,0
"72",0.69,0.69,0
"73",0.107,0.107,0
"74",0.106,0.106,0
"75",0.307,0.307,0
"76",0.413,0.413,0
"77",0.307,0.307,0
"78",0.288,0.288,0
"79",0.659,0.659,0
"80",0.25,0.25,0
"81",0.146,0.146,0
"82",0.522,0.522,0
"83",0.91,0.91,0
"84",0.266,0.266,0
"85",0.847,0.847,0
"86",0.57,0.57,0
"87",0.101,0.101,0
"88",0.236,0.236,0
"89",0.464,0.464,0
"90",0.387,0.387,0
"91",0.858,0.858,0
"92",0.536,0.536,0
"93",0.189,0.189,0
"94",0.015,0.015,0
"95",0.959,0.959,0
"96",0.692,0.692,0
"97",0.75,0.75,0
"98",0.66,0.66,0
"99",0.97,0.97,0
"100",0.546,0.546,0
"101",0.09,0.09,0
"102",0.89,0.89,0
"103",0.678,0.678,0
"104",0.094,0.094,0
"105",0.284,0.284,0
"106",0.507,0.507,0
"107",0.454,0.454,0
"108",0.566,0.566,0
"109",0.662,0.662,0
"110",0.247,0.247,0
"111",0.804,0.804,0
"112",0.608,0.608,0
"113",0.208,0.208,0
"114",0.391,0.391,0
"115",0.096,0.096,0
"116",0.716,0.716,0
"117",0.126,0.126,0
"118",0.772,0.772,0
"119",0.374,0.374,0
"120",0.033,0.033,1
"121",0.081,0.081,0
"122",0.272,0.272,0
"123",0.68,0.68,0
"124",0.657,0.657,0
"125",0.379,0.379,0
"126",0.632,0.632,0
"127",0.29,0.29,0
"128",0.034,0.034,0
"129",0.132,0.132,0
"130",0.543,0.543,0
"131",0.03,0.03,1
"132",0.019,0.019,1
"133",0.114,0.114,0
"134",0.442,0.442,0
"135",0.079,0.079,0
"136",0.096,0.096,0
"137",0.791,0.791,0
"138",0.274,0.274,0
"139",0.427,0.427,0
"140",0.817,0.817,0
"141",0.163,0.163,0
"142",0.357,0.357,0
"143",0.103,0.103,0
"144",0.658,0.658,0
"145",0.966,0.966,0
"146",0.704,0.704,0
"147",0.763,0.763,0
"148",0.506,0.506,0
"149",0.988,0.988,0
"150",0.318,0.318,0
"151",0.072,0.072,0
"152",0.016,0.016,1
"153",0.883,0.883,0
"154",0.803,0.803,0
"155",0.706,0.706,0
"156",0.504,0.504,0
"157",0.9,0.9,0
"158",0.417,0.417,0
"159",0.599,0.599,0
"160",0.916,0.916,0
"161",0.369,0.369,0
"162",0.361,0.361,0
"163",0.33,0.33,0
"164",0.206,0.206,0
"165",0.976,0.976,0
"166",0.064,0.064,0
"167",0.504,0.504,0
"168",0.866,0.866,0
"169",0.151,0.151,0
"170",0.112,0.112,0
"171",0.52,0.52,0
"172",0.203,0.203,0
"173",0.08,0.08,0
"174",0.481,0.481,0
"175",0.298,0.298,0
"176",0.711,0.711,0
"177",0.348,0.348,0
"178",0.172,0.172,0
"179",0.732,0.732,0
"180",0.709,0.709,0
"181",0.049,0.049,0
"182",0.689,0.689,0
"183",0.161,0.161,0
"184",0.331,0.331,0
"185",0.675,0.675,0
"186",0.495,0.495,0
"187",0.696,0.696,0
"188",0.896,0.896,0
"189",0.579,0.579,0
"190",0.784,0.784,0
"191",0.417,0.417,0
"192",0.156,0.156,0
"193",0.366,0.366,0
"194",0.119,0.119,0
"195",0.011,0.011,1
"196",0.562,0.562,0
"197",0.749,0.749,0
"198",0.974,0.974,0
"199",0.443,0.443,0
"200",0.438,0.438,0
"201",0.438,0.438,0
"202",0.642,0.642,0
"203",0.543,0.543,0
"204",0.107,0.107,0
"205",0.309,0.309,0
"206",0.394,0.394,0
"207",0.325,0.325,0
"208",0.16,0.16,0
"209",0.386,0.386,0
"210",0.235,0.235,0
"211",0.299,0.299,0
"212",0.502,0.502,0
"213",0.647,0.647,0
"214",0.049,0.049,0
"215",0.99,0.99,0
"216",0.361,0.361,0
"217",0.333,0.333,0
"218",0.532,0.532,0
"219",0.956,0.956,0
"220",0.591,0.591,0
"221",0.792,0.792,0
"222",0.816,0.816,0
"223",0.398,0.398,0
"224",0.031,0.031,0
"225",0.779,0.779,0
"226",0.642,0.642,0
"227",0.473,0.473,0
"228",0.411,0.411,0
"229",0.628,0.628,0
"230",0.531,0.531,0
"231",0.317,0.317,0
"232",0.411,0.411,0
"233",0.705,0.705,0
"234",0.342,0.342,0
"235",0.872,0.872,0
"236",0.443,0.443,0
"237",0.719,0.719,0
"238",0.616,0.616,0
"239",0.812,0.812,0
"240",0.951,0.951,0
"241",0.698,0.698,0
"242",0.294,0.294,0
"243",0.303,0.303,0
"244",0.655,0.655,0
"245",0.917,0.917,0
"246",0.006,0.006,1
"247",0.609,0.609,0
"248",0.811,0.811,0
"249",0.642,0.642,0
"250",0.683,0.683,0
"251",0.841,0.841,0
"252",0.659,0.659,0
"253",0.634,0.634,0
"254",0.277,0.277,0
"255",0.678,0.678,0
"256",0.401,0.401,0
"257",0.551,0.551,0
"258",0.258,0.258,0
"259",0.074,0.074,0
"260",0.113,0.113,0
"261",0.979,0.979,0
"262",0.08,0.08,0
"263",0.831,0.831,0
"264",0.055,0.055,0
"265",0.296,0.296,0
"266",0.614,0.614,0
"267",0.37,0.37,0
"268",0.418,0.418,0
"269",0.805,0.805,0
"270",0.55,0.55,0
"271",0.807,0.807,0
"272",0.102,0.102,0
"273",0.129,0.129,0
"274",0.343,0.343,0
"275",0.722,0.722,0
"276",0.594,0.594,0
"277",0.059,0.059,0
"278",0.52,0.52,0
"279",0.244,0.244,0
"280",0.018,0.018,1
"281",0.495,0.495,0
"282",0.753,0.753,0
"283",0.995,0.995,0
"284",0.284,0.284,0
"285",0.216,0.216,0
"286",0.548,0.548,0
"287",0.839,0.839,0
"288",0.585,0.585,0
"289",0.346,0.346,0
"290",0.266,0.266,0
"291",0.712,0.712,0
"292",0.377,0.377,0
"293",0.185,0.185,0
"294",0.453,0.453,0
"295",0.013,0.013,0
"296",0.229,0.229,0
"297",0.618,0.618,0
"298",0.904,0.904,0
"299",0.704,0.704,0
"300",0.463,0.463,0
"301",0.663,0.663,0
"302",0.236,0.236,0
"303",0.384,0.384,0
"304",0.266,0.266,0
"305",0.012,0.012,1
"306",0.259,0.259,0
"307",0.549,0.549,0
"308",0.788,0.788,0
"309",0.012,0.012,1
"310",0.936,0.936,0
"311",0.204,0.204,0
"312",0.736,0.736,0
"313",0.257,0.257,0
"314",0.457,0.457,0
"315",0.942,0.942,0
"316",0.701,0.701,0
"317",0.804,0.804,0
"318",0.177,0.177,0
"319",0.495,0.495,0
"320",0.009,0.009,1
"321",0.682,0.682,0
"322",0.47,0.47,0
"323",0.623,0.623,0
"324",0.563,0.563,0
"325",0.31,0.31,0
"326",0.961,0.961,0
"327",0.946,0.946,0
"328",0.002,0.002,1
"329",0.221,0.221,0
"330",0.832,0.832,0
"331",0.894,0.894,0
"332",0.143,0.143,0
"333",0.555,0.555,0
"334",0.044,0.044,1
"335",0.191,0.191,0
"336",0.617,0.617,0
"337",0.434,0.434,0
"338",0.297,0.297,0
"339",0.331,0.331,0
"340",0.955,0.955,0
"341",0.842,0.842,0
"342",0.849,0.849,0
"343",0.241,0.241,0
"344",0.622,0.622,0
"345",0.593,0.593,0
"346",0.384,0.384,0
"347",0.665,0.665,0
"348",0.303,0.303,0
"349",0.653,0.653,0
"350",0.469,0.469,0
"351",0.193,0.193,0
"352",0.64,0.64,0
"353",0.345,0.345,0
"354",0.914,0.914,0
"355",0.032,0.032,0
"356",0.604,0.604,0
"357",0.254,0.254,0
"358",0.763,0.763,0
"359",0.866,0.866,0
"360",0.513,0.513,0
"361",0.097,0.097,0
"362",0.707,0.707,0
"363",0.791,0.791,0
"364",0.793,0.793,0
"365",0.905,0.905,0
"366",0.019,0.019,1
"367",0.736,0.736,0
"368",0.71,0.71,0
"369",0.193,0.193,0
"370",0.933,0.933,0
"371",0.602,0.602,0
"372",0.972,0.972,0
"373",0.662,0.662,0
"374",0.448,0.448,0
"375",0.533,0.533,0
"376",0.103,0.103,0
"377",0.893,0.893,0
"378",0.293,0.293,0
"379",0.055,0.055,0
"380",0.744,0.744,0
"381",0.666,0.666,0
"382",0.032,0.032,0
"383",0.17,0.17,0
"384",0.124,0.124,0
"385",0.069,0.069,0
"386",0.1,0.1,0
"387",0.924,0.924,0
"388",0.162,0.162,0
"389",0.068,0.068,0
"390",0.704,0.704,0
"391",0.091,0.091,0
"392",0.496,0.496,0
"393",0.647,0.647,0
"394",0.451,0.451,0
"395",0.785,0.785,0
"396",0.646,0.646,0
"397",0.825,0.825,0
"398",0.355,0.355,0
"399",0.217,0.217,0
"400",0.233,0.233,0
