"","","","bonf_res"
"1",0.00133333333333333,0.00133333333333333,1
"2",0,0,1
"3",0.00533333333333333,0.00533333333333333,1
"4",0.000333333333333333,0.000333333333333333,1
"5",0.000666666666666667,0.000666666666666667,1
"6",0.001,0.001,1
"7",0,0,1
"8",0.000333333333333333,0.000333333333333333,1
"9",0.001,0.001,1
"10",0.00233333333333333,0.00233333333333333,1
"11",0.000333333333333333,0.000333333333333333,1
"12",0.000666666666666667,0.000666666666666667,1
"13",0.00433333333333333,0.00433333333333333,1
"14",0.00466666666666667,0.00466666666666667,1
"15",0.001,0.001,1
"16",0.0513333333333333,0.0513333333333333,0
"17",0.00133333333333333,0.00133333333333333,1
"18",0.000666666666666667,0.000666666666666667,1
"19",0,0,1
"20",0.000333333333333333,0.000333333333333333,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",0.000333333333333333,0.000333333333333333,1
"25",0.000666666666666667,0.000666666666666667,1
"26",0.00333333333333333,0.00333333333333333,1
"27",0.000333333333333333,0.000333333333333333,1
"28",0,0,1
"29",0,0,1
"30",0.001,0.001,1
"31",0.0436666666666667,0.0436666666666667,1
"32",0.000333333333333333,0.000333333333333333,1
"33",0.00833333333333333,0.00833333333333333,1
"34",0,0,1
"35",0.00166666666666667,0.00166666666666667,1
"36",0.00233333333333333,0.00233333333333333,1
"37",0.00433333333333333,0.00433333333333333,1
"38",0.00233333333333333,0.00233333333333333,1
"39",0.000666666666666667,0.000666666666666667,1
"40",0.000333333333333333,0.000333333333333333,1
"41",0.001,0.001,1
"42",0.000666666666666667,0.000666666666666667,1
"43",0.0746666666666667,0.0746666666666667,0
"44",0.0126666666666667,0.0126666666666667,1
"45",0.0266666666666667,0.0266666666666667,1
"46",0.00266666666666667,0.00266666666666667,1
"47",0.00133333333333333,0.00133333333333333,1
"48",0,0,1
"49",0.00133333333333333,0.00133333333333333,1
"50",0.000333333333333333,0.000333333333333333,1
"51",0.013,0.013,1
"52",0.000333333333333333,0.000333333333333333,1
"53",0.001,0.001,1
"54",0.000333333333333333,0.000333333333333333,1
"55",0.000666666666666667,0.000666666666666667,1
"56",0.00166666666666667,0.00166666666666667,1
"57",0.0266666666666667,0.0266666666666667,1
"58",0.075,0.075,0
"59",0.011,0.011,1
"60",0.00166666666666667,0.00166666666666667,1
"61",0.003,0.003,1
"62",0.00233333333333333,0.00233333333333333,1
"63",0.001,0.001,1
"64",0.000333333333333333,0.000333333333333333,1
"65",0.001,0.001,1
"66",0.000666666666666667,0.000666666666666667,1
"67",0.001,0.001,1
"68",0.000333333333333333,0.000333333333333333,1
"69",0.000333333333333333,0.000333333333333333,1
"70",0.00233333333333333,0.00233333333333333,1
"71",0.000666666666666667,0.000666666666666667,1
"72",0,0,1
"73",0.0373333333333333,0.0373333333333333,1
"74",0.00133333333333333,0.00133333333333333,1
"75",0.000333333333333333,0.000333333333333333,1
"76",0.001,0.001,1
"77",0.002,0.002,1
"78",0.001,0.001,1
"79",0.000333333333333333,0.000333333333333333,1
"80",0.015,0.015,1
"81",0.000666666666666667,0.000666666666666667,1
"82",0.001,0.001,1
"83",0.000666666666666667,0.000666666666666667,1
"84",0.00133333333333333,0.00133333333333333,1
"85",0.00533333333333333,0.00533333333333333,1
"86",0.002,0.002,1
"87",0.000333333333333333,0.000333333333333333,1
"88",0.0223333333333333,0.0223333333333333,1
"89",0.000333333333333333,0.000333333333333333,1
"90",0,0,1
"91",0.002,0.002,1
"92",0.000333333333333333,0.000333333333333333,1
"93",0.006,0.006,1
"94",0.00133333333333333,0.00133333333333333,1
"95",0.00333333333333333,0.00333333333333333,1
"96",0.001,0.001,1
"97",0.00266666666666667,0.00266666666666667,1
"98",0.001,0.001,1
"99",0.000666666666666667,0.000666666666666667,1
"100",0,0,1
"101",0.000666666666666667,0.000666666666666667,1
"102",0.000333333333333333,0.000333333333333333,1
"103",0.001,0.001,1
"104",0,0,1
"105",0.000333333333333333,0.000333333333333333,1
"106",0.000333333333333333,0.000333333333333333,1
"107",0.001,0.001,1
"108",0.00233333333333333,0.00233333333333333,1
"109",0.000333333333333333,0.000333333333333333,1
"110",0.00266666666666667,0.00266666666666667,1
"111",0.000333333333333333,0.000333333333333333,1
"112",0,0,1
"113",0.001,0.001,1
"114",0.0216666666666667,0.0216666666666667,1
"115",0.069,0.069,0
"116",0.000333333333333333,0.000333333333333333,1
"117",0.00166666666666667,0.00166666666666667,1
"118",0,0,1
"119",0.00233333333333333,0.00233333333333333,1
"120",0,0,1
"121",0.000666666666666667,0.000666666666666667,1
"122",0.00733333333333333,0.00733333333333333,1
"123",0.001,0.001,1
"124",0.000333333333333333,0.000333333333333333,1
"125",0.00333333333333333,0.00333333333333333,1
"126",0.00166666666666667,0.00166666666666667,1
"127",0,0,1
"128",0.002,0.002,1
"129",0.00333333333333333,0.00333333333333333,1
"130",0.250666666666667,0.250666666666667,0
"131",0,0,1
"132",0.00366666666666667,0.00366666666666667,1
"133",0.000666666666666667,0.000666666666666667,1
"134",0,0,1
"135",0.00266666666666667,0.00266666666666667,1
"136",0.000333333333333333,0.000333333333333333,1
"137",0.00366666666666667,0.00366666666666667,1
"138",0.000333333333333333,0.000333333333333333,1
"139",0.000333333333333333,0.000333333333333333,1
"140",0,0,1
"141",0.002,0.002,1
"142",0.000666666666666667,0.000666666666666667,1
"143",0.00166666666666667,0.00166666666666667,1
"144",0,0,1
"145",0.001,0.001,1
"146",0.001,0.001,1
"147",0.001,0.001,1
"148",0.000333333333333333,0.000333333333333333,1
"149",0.001,0.001,1
"150",0.000333333333333333,0.000333333333333333,1
"151",0.000333333333333333,0.000333333333333333,1
"152",0.001,0.001,1
"153",0,0,1
"154",0.00266666666666667,0.00266666666666667,1
"155",0.0653333333333333,0.0653333333333333,0
"156",0.000666666666666667,0.000666666666666667,1
"157",0,0,1
"158",0.001,0.001,1
"159",0.00166666666666667,0.00166666666666667,1
"160",0.001,0.001,1
"161",0.001,0.001,1
"162",0.0483333333333333,0.0483333333333333,0
"163",0.0116666666666667,0.0116666666666667,1
"164",0,0,1
"165",0.000666666666666667,0.000666666666666667,1
"166",0.000666666666666667,0.000666666666666667,1
"167",0.000333333333333333,0.000333333333333333,1
"168",0.0133333333333333,0.0133333333333333,1
"169",0,0,1
"170",0.000333333333333333,0.000333333333333333,1
"171",0.00266666666666667,0.00266666666666667,1
"172",0.00166666666666667,0.00166666666666667,1
"173",0.001,0.001,1
"174",0.004,0.004,1
"175",0.000333333333333333,0.000333333333333333,1
"176",0.00233333333333333,0.00233333333333333,1
"177",0.005,0.005,1
"178",0.000666666666666667,0.000666666666666667,1
"179",0.013,0.013,1
"180",0.000333333333333333,0.000333333333333333,1
"181",0.000666666666666667,0.000666666666666667,1
"182",0.002,0.002,1
"183",0.000666666666666667,0.000666666666666667,1
"184",0,0,1
"185",0.000666666666666667,0.000666666666666667,1
"186",0.001,0.001,1
"187",0.000666666666666667,0.000666666666666667,1
"188",0.000333333333333333,0.000333333333333333,1
"189",0.0113333333333333,0.0113333333333333,1
"190",0.00266666666666667,0.00266666666666667,1
"191",0.001,0.001,1
"192",0.00233333333333333,0.00233333333333333,1
"193",0.000333333333333333,0.000333333333333333,1
"194",0.00233333333333333,0.00233333333333333,1
"195",0.000666666666666667,0.000666666666666667,1
"196",0.023,0.023,1
"197",0,0,1
"198",0.0226666666666667,0.0226666666666667,1
"199",0.000333333333333333,0.000333333333333333,1
"200",0.000333333333333333,0.000333333333333333,1
"201",0.00366666666666667,0.00366666666666667,1
"202",0.000666666666666667,0.000666666666666667,1
"203",0.000333333333333333,0.000333333333333333,1
"204",0,0,1
"205",0.0173333333333333,0.0173333333333333,1
"206",0.000666666666666667,0.000666666666666667,1
"207",0.002,0.002,1
"208",0.002,0.002,1
"209",0.001,0.001,1
"210",0,0,1
"211",0.00266666666666667,0.00266666666666667,1
"212",0.109666666666667,0.109666666666667,0
"213",0,0,1
"214",0.000666666666666667,0.000666666666666667,1
"215",0.00233333333333333,0.00233333333333333,1
"216",0.489,0.489,0
"217",0.00266666666666667,0.00266666666666667,1
"218",0.00533333333333333,0.00533333333333333,1
"219",0.007,0.007,1
"220",0.000333333333333333,0.000333333333333333,1
"221",0.000666666666666667,0.000666666666666667,1
"222",0.00466666666666667,0.00466666666666667,1
"223",0.00133333333333333,0.00133333333333333,1
"224",0.002,0.002,1
"225",0.00233333333333333,0.00233333333333333,1
"226",0.00266666666666667,0.00266666666666667,1
"227",0.000666666666666667,0.000666666666666667,1
"228",0.001,0.001,1
"229",0.104,0.104,0
"230",0.003,0.003,1
"231",0.00166666666666667,0.00166666666666667,1
"232",0.000666666666666667,0.000666666666666667,1
"233",0.000666666666666667,0.000666666666666667,1
"234",0.000666666666666667,0.000666666666666667,1
"235",0.00366666666666667,0.00366666666666667,1
"236",0,0,1
"237",0.00233333333333333,0.00233333333333333,1
"238",0,0,1
"239",0.00233333333333333,0.00233333333333333,1
"240",0,0,1
"241",0,0,1
"242",0.00233333333333333,0.00233333333333333,1
"243",0.00166666666666667,0.00166666666666667,1
"244",0.002,0.002,1
"245",0.001,0.001,1
"246",0.006,0.006,1
"247",0.00133333333333333,0.00133333333333333,1
"248",0,0,1
"249",0.00133333333333333,0.00133333333333333,1
"250",0.048,0.048,0
"251",0.00133333333333333,0.00133333333333333,1
"252",0.001,0.001,1
"253",0.000666666666666667,0.000666666666666667,1
"254",0.00133333333333333,0.00133333333333333,1
"255",0.0376666666666667,0.0376666666666667,1
"256",0,0,1
"257",0.000333333333333333,0.000333333333333333,1
"258",0.000666666666666667,0.000666666666666667,1
"259",0.024,0.024,1
"260",0.008,0.008,1
"261",0.001,0.001,1
"262",0.00233333333333333,0.00233333333333333,1
"263",0,0,1
"264",0.002,0.002,1
"265",0.000666666666666667,0.000666666666666667,1
"266",0.00166666666666667,0.00166666666666667,1
"267",0.000666666666666667,0.000666666666666667,1
"268",0,0,1
"269",0.0126666666666667,0.0126666666666667,1
"270",0.001,0.001,1
"271",0,0,1
"272",0.0163333333333333,0.0163333333333333,1
"273",0.000333333333333333,0.000333333333333333,1
"274",0.0243333333333333,0.0243333333333333,1
"275",0.00333333333333333,0.00333333333333333,1
"276",0.00633333333333333,0.00633333333333333,1
"277",0.000666666666666667,0.000666666666666667,1
"278",0.00333333333333333,0.00333333333333333,1
"279",0.00233333333333333,0.00233333333333333,1
"280",0.00233333333333333,0.00233333333333333,1
"281",0.00433333333333333,0.00433333333333333,1
"282",0.000666666666666667,0.000666666666666667,1
"283",0.000333333333333333,0.000333333333333333,1
"284",0,0,1
"285",0.005,0.005,1
"286",0.000666666666666667,0.000666666666666667,1
