"","","","bonf_res"
"1",0.112,1,0
"2",0.89,1,0
"3",0.518,1,0
"4",0.00800000000000001,1,1
"5",0.538,1,0
"6",0.108,1,0
"7",0.182,1,0
"8",0.184,1,0
"9",0.36,1,0
"10",0.044,1,1
"11",0.0679999999999999,1,0
"12",0.162,1,0
"13",0.172,1,0
"14",0.5,1,0
"15",0.172,1,0
"16",0.304,1,0
"17",0.086,1,0
"18",0.022,1,0
"19",0.00600000000000001,1,1
"20",0,1,1
"21",0.442,1,0
"22",0.258,1,0
"23",0.206,1,0
"24",0.43,1,0
"25",0.14,1,0
"26",0.554,1,0
"27",0.072,1,0
"28",0.106,1,0
"29",0.002,1,1
"30",0.054,1,0
"31",0.286,1,0
"32",0.152,1,0
"33",0.368,1,0
"34",0.002,1,1
"35",0.238,1,0
"36",0.158,1,0
"37",0.056,1,0
"38",0.228,1,0
"39",0.08,1,0
"40",0.696,1,0
"41",0.628,1,0
"42",0.746,1,0
"43",0.092,1,0
"44",0.082,1,1
"45",0.334,1,0
"46",0.83,1,0
"47",0.232,1,0
"48",0.972,1,0
"49",0.356,1,0
"50",0.816,1,0
"51",0.026,1,0
"52",0.102,1,0
"53",0.47,1,0
"54",0.406,1,0
"55",0.688,1,0
"56",0.614,1,0
"57",0.00600000000000001,1,0
"58",0.886,1,0
"59",0.236,1,0
"60",0.668,1,0
"61",0.334,1,0
"62",0.012,1,1
"63",0.876,1,0
"64",0.172,1,0
"65",0.28,1,0
"66",0.228,1,0
"67",0.29,1,0
"68",0.716,1,0
"69",0.432,1,0
"70",0.54,1,0
"71",0.41,1,0
"72",0.622,1,0
"73",0.374,1,0
"74",0.234,1,0
"75",0.846,1,0
"76",0,1,1
"77",0.622,1,0
"78",0.334,1,0
"79",0.914,1,0
"80",0.198,1,0
"81",0.242,1,0
"82",0.276,1,0
"83",0.044,1,1
"84",0.084,1,0
"85",0.63,1,0
"86",0.052,1,0
"87",0.00600000000000001,1,1
"88",0.026,1,0
"89",0.022,1,1
"90",0.588,1,0
"91",0.292,1,0
"92",0.952,1,0
"93",0.77,1,0
"94",0.55,1,0
"95",0.82,1,0
"96",0.026,1,0
"97",0.084,1,0
"98",0.102,1,0
"99",0.284,1,0
"100",0.0659999999999999,1,0
"101",0.02,1,0
"102",0.13,1,0
"103",0.228,1,0
"104",0.778,1,0
"105",0.036,1,0
"106",0.12,1,0
"107",0.734,1,0
"108",0.024,1,0
"109",0.542,1,0
"110",0.512,1,0
"111",0.118,1,0
"112",0.444,1,0
"113",0.156,1,0
"114",0.196,1,0
"115",0.128,1,0
"116",0.026,1,0
"117",0.274,1,0
"118",0.204,1,0
"119",0.086,1,0
"120",0.03,1,1
"121",0.074,1,0
"122",0.586,1,0
"123",0.002,1,1
"124",0.2,1,0
"125",0.192,1,0
"126",0.408,1,0
"127",0.562,1,0
"128",0.848,1,0
"129",0.07,1,0
"130",0.582,1,0
"131",0.12,1,0
"132",0.6,1,0
"133",0.906,1,0
"134",0.27,1,0
"135",0.164,1,1
"136",0.246,1,0
"137",0.094,1,0
"138",0.27,1,0
"139",0.00800000000000001,1,0
"140",0.002,1,1
"141",0.14,1,0
"142",0.374,1,0
"143",0.128,1,0
"144",0.302,1,0
"145",0.368,1,0
"146",0.81,1,0
"147",0.02,1,0
"148",0.54,1,0
"149",0.156,1,0
"150",0.218,1,0
"151",0.256,1,0
"152",0.454,1,0
"153",0.592,1,0
"154",0.084,1,0
"155",0.256,1,0
"156",0.49,1,0
"157",0.252,1,0
"158",0.796,1,0
"159",0.622,1,0
"160",0.036,1,0
"161",0.41,1,0
"162",0.0620000000000001,1,0
"163",0.022,1,0
"164",0.256,1,0
"165",0.392,1,0
"166",0.094,1,0
"167",0.786,1,0
"168",0.964,1,0
"169",0.614,1,0
"170",0.00600000000000001,1,1
"171",0.654,1,0
"172",0.07,1,0
"173",0.874,1,0
"174",0.086,1,0
"175",0.052,1,0
"176",0.162,1,0
"177",0.51,1,0
"178",0.024,1,1
"179",0.454,1,0
"180",0.788,1,0
"181",0.012,1,0
"182",0.866,1,0
"183",0.108,1,0
"184",0.11,1,0
"185",0.294,1,0
"186",0.5,1,0
"187",0.628,1,0
"188",0.056,1,0
"189",0.11,1,0
"190",0.166,1,0
"191",0.078,1,0
"192",0.134,1,0
"193",0.15,1,0
"194",0.36,1,0
"195",0.146,1,0
"196",0.004,1,0
"197",0.038,1,0
"198",0.18,1,0
"199",0.112,1,0
"200",0.276,1,0
"201",0.426,1,0
"202",0.024,1,1
"203",0.138,1,1
"204",0.076,1,0
"205",0.188,1,0
"206",0.488,1,0
"207",0.148,1,0
"208",0.056,1,1
"209",0.588,1,0
"210",0.024,1,0
"211",0.754,1,0
"212",0.152,1,0
"213",0.11,1,0
"214",0.518,1,0
"215",0.00600000000000001,1,1
"216",0.468,1,0
"217",0.026,1,1
"218",0.106,1,0
"219",0.034,1,1
"220",0.128,1,0
"221",0.05,1,0
"222",0.0600000000000001,1,0
"223",0.17,1,0
"224",0.178,1,0
"225",0.45,1,0
"226",0.402,1,0
"227",0.166,1,0
"228",0.444,1,0
"229",0.278,1,0
"230",0.19,1,0
"231",0.95,1,0
"232",0.136,1,0
"233",0.234,1,0
"234",0.444,1,0
"235",0.314,1,0
"236",0.0620000000000001,1,0
"237",0.548,1,0
"238",0.028,1,1
"239",0.2,1,0
"240",0.18,1,0
"241",0.278,1,0
"242",0.888,1,0
"243",0.014,1,1
"244",0.41,1,0
"245",0,1,1
"246",0.128,1,0
"247",0.176,1,0
"248",0.002,1,0
"249",0.196,1,0
"250",0.146,1,0
"251",0.536,1,0
"252",0.32,1,0
"253",0.296,1,0
"254",0.386,1,0
"255",0.0659999999999999,1,0
"256",0.938,1,0
"257",0.656,1,0
"258",0.00800000000000001,1,1
"259",0.024,1,0
"260",0.0600000000000001,1,0
"261",0.082,1,0
"262",0.164,1,0
"263",0.324,1,0
"264",0.048,1,0
"265",0.234,1,0
"266",0.148,1,0
"267",0.224,1,0
"268",0.166,1,0
"269",0,1,1
"270",0.368,1,0
"271",0.114,1,0
"272",0.514,1,0
"273",0.04,1,0
"274",0.208,1,0
"275",0.646,1,0
"276",0.00800000000000001,1,0
"277",0.094,1,0
"278",0.148,1,0
"279",0,1,1
"280",0.3,1,0
"281",0.074,1,1
"282",0.524,1,0
"283",0.956,1,0
"284",0.054,1,0
"285",0.614,1,0
"286",0.11,1,0
"287",0.00800000000000001,1,1
"288",0.0580000000000001,1,1
"289",0.014,1,0
"290",0.538,1,0
"291",0.504,1,0
"292",0.368,1,0
"293",0.00600000000000001,1,1
"294",0.03,1,0
"295",0.038,1,1
"296",0.132,1,0
"297",0.018,1,1
"298",0.384,1,0
"299",0.806,1,0
"300",0.462,1,0
"301",0.056,1,0
"302",0.646,1,0
"303",0.57,1,0
"304",0.424,1,0
"305",0.232,1,0
"306",0.098,1,0
"307",0.358,1,0
"308",0.318,1,0
"309",0.158,1,0
"310",0.07,1,0
"311",0.342,1,0
"312",0.028,1,0
"313",0.392,1,0
"314",0.83,1,0
"315",0.29,1,0
"316",0.0659999999999999,1,0
"317",0.078,1,1
"318",0.12,1,0
"319",0.39,1,0
"320",0.03,1,0
