"","","","bonf_res"
"1",0.432,1,0
"2",0.9,1,0
"3",0.348,1,0
"4",0.950666666666667,1,0
"5",0.28,1,0
"6",0.044,1,1
"7",0.749333333333333,1,0
"8",0.989333333333333,1,0
"9",0.972,1,0
"10",0.902666666666667,1,0
"11",0.861333333333333,1,0
"12",0.0306666666666666,1,1
"13",0.796,1,0
"14",0.921333333333333,1,0
"15",0.765333333333333,1,0
"16",0.285333333333333,1,0
"17",0.842666666666667,1,0
"18",0.810666666666667,1,0
"19",0.406666666666667,1,0
"20",0.374666666666667,1,0
"21",0.702666666666667,1,0
"22",0.5,1,0
"23",0.917333333333333,1,0
"24",0.946666666666667,1,0
"25",0.149333333333333,1,0
"26",0.088,1,0
"27",0.858666666666667,1,0
"28",0.769333333333333,1,0
"29",0.146666666666667,1,0
"30",0.733333333333333,1,0
"31",0.974666666666667,1,0
"32",0.424,1,0
"33",0.690666666666667,1,0
"34",0.305333333333333,1,0
"35",0.852,1,0
"36",0.514666666666667,1,0
"37",0.256,1,0
"38",0.393333333333333,1,0
"39",0.32,1,0
"40",0.116,1,0
"41",0.954666666666667,1,0
"42",0.981333333333333,1,0
"43",0.182666666666667,1,0
"44",0.136,1,0
"45",0.692,1,0
"46",0.132,1,0
"47",0.54,1,0
"48",0.478666666666667,1,0
"49",0.992,1,0
"50",0.350666666666667,1,0
"51",0.633333333333333,1,0
"52",0.738666666666667,1,0
"53",0.04,1,1
"54",0.505333333333333,1,0
"55",0.581333333333333,1,0
"56",0.136,1,0
"57",0.561333333333333,1,0
"58",0.521333333333333,1,0
"59",0.346666666666667,1,0
"60",0.414666666666667,1,0
"61",0.754666666666667,1,0
"62",0.778666666666667,1,0
"63",0.273333333333333,1,0
"64",0.501333333333333,1,0
"65",0.485333333333333,1,0
"66",0.302666666666667,1,0
"67",0.332,1,0
"68",0.0053333333333333,1,1
"69",0.658666666666667,1,0
"70",0.0933333333333334,1,0
"71",0.398666666666667,1,0
"72",0.528,1,0
"73",0.633333333333333,1,0
"74",0.0373333333333333,1,0
"75",0.644,1,0
"76",0.54,1,0
"77",0.477333333333333,1,0
"78",0.732,1,0
"79",0.134666666666667,1,0
"80",0.564,1,0
"81",0.521333333333333,1,0
"82",0.0986666666666667,1,0
"83",0.624,1,0
"84",0.04,1,0
"85",0.734666666666667,1,0
"86",0.233333333333333,1,0
"87",0.825333333333333,1,0
"88",0.328,1,0
"89",0.0466666666666666,1,0
"90",0.350666666666667,1,0
"91",0.545333333333333,1,0
"92",0.622666666666667,1,0
"93",0.94,1,0
"94",0.398666666666667,1,0
"95",0.838666666666667,1,0
"96",0.536,1,0
"97",0.641333333333333,1,0
"98",0.112,1,0
"99",0.886666666666667,1,0
"100",0.524,1,0
"101",0.446666666666667,1,0
"102",0.810666666666667,1,0
"103",0.917333333333333,1,0
"104",0.118666666666667,1,0
"105",0.0573333333333333,1,0
"106",0.314666666666667,1,0
"107",0.0213333333333333,1,1
"108",0.225333333333333,1,0
"109",0.0453333333333333,1,1
"110",0.978666666666667,1,0
"111",0.830666666666667,1,0
"112",0.888,1,0
"113",0.785333333333333,1,0
"114",0.329333333333333,1,0
"115",0.662666666666667,1,0
"116",0.088,1,0
"117",0.389333333333333,1,0
"118",0.72,1,0
"119",0.4,1,0
"120",0.756,1,0
"121",0.221333333333333,1,0
"122",0.288,1,0
"123",0.105333333333333,1,0
"124",0.706666666666667,1,0
"125",0.848,1,0
"126",0.710666666666667,1,0
"127",0.256,1,0
"128",0.374666666666667,1,0
"129",0.0613333333333334,1,0
"130",0.449333333333333,1,0
"131",0.0893333333333334,1,0
"132",0.326666666666667,1,0
"133",0.128,1,0
"134",0.189333333333333,1,0
"135",0.569333333333333,1,0
"136",0.674666666666667,1,0
"137",0.624,1,0
"138",0.530666666666667,1,0
"139",0.842666666666667,1,0
"140",0.0533333333333333,1,0
"141",0.72,1,0
"142",0.648,1,0
"143",0.116,1,1
"144",0.604,1,0
"145",0.804,1,0
"146",0.628,1,0
"147",0.182666666666667,1,0
"148",0.266666666666667,1,0
