"","","","","","","","bonf_res"
"1",0.056,0,0,0,0,1,0
"2",0.494,0,0,0,0,1,0
"3",0.0580000000000001,0,1,0,0,0,0
"4",0.248,0,0,0,0,1,0
"5",0.094,0,0,0,0,1,0
"6",0.408,0,0,0,0,1,0
"7",0.77,0,0,1,0,0,0
"8",0.096,0,0,0,0,1,0
"9",0.004,0,0,0,1,0,1
"10",0,0,0,1,0,0,1
"11",0.116,0,0,0,0,1,0
"12",0.446,0,0,1,0,0,0
"13",0.016,0,0,1,0,0,0
"14",0.01,0,0,0,1,0,1
"15",0.02,0,0,0,0,1,1
"16",0.592,0,0,0,0,1,0
"17",0.09,0,0,1,0,0,0
"18",0.158,0,0,1,0,0,0
"19",0.078,0,0,0,0,1,0
"20",0.488,0,0,1,0,0,0
"21",0.084,0,0,0,1,0,0
"22",0.19,0,0,1,0,0,0
"23",0.476,0,0,1,0,0,0
"24",0.586,0,0,1,0,0,0
"25",0.658,0,0,1,0,0,0
"26",0.00800000000000001,0,0,1,0,0,1
"27",0.048,0,0,0,0,1,1
"28",0.684,0,0,0,1,0,0
"29",0.0600000000000001,0,0,0,1,0,0
"30",0.162,0,0,0,0,1,0
"31",0.924,0,0,1,0,0,0
"32",0.05,0,0,1,0,0,0
"33",0.116,0,0,0,0,1,0
"34",0.708,0,0,1,0,0,0
"35",0.012,0,0,0,1,0,1
"36",0.638,0,0,0,0,1,0
"37",0.144,0,0,1,0,0,1
"38",0.00600000000000001,0,0,1,0,0,1
"39",0.68,0,0,1,0,0,0
"40",0.0679999999999999,0,0,1,0,0,0
"41",0.19,0,0,0,1,0,0
"42",0.0580000000000001,0,0,1,0,0,0
"43",0.46,0,0,1,0,0,0
"44",0.69,0,0,1,0,0,0
"45",0.532,0,0,1,0,0,0
"46",0.00600000000000001,0,0,0,0,1,1
"47",0.184,0,1,0,0,0,0
"48",0.004,0,0,1,0,0,1
"49",0.732,0,0,0,1,0,0
"50",0.02,0,0,0,0,1,1
"51",0.456,0,0,1,0,0,0
"52",0.052,0,0,0,0,1,1
"53",0.174,0,0,1,0,0,0
"54",0.212,0,0,1,0,0,0
"55",0.852,0,0,1,0,0,0
"56",0.246,0,0,1,0,0,0
"57",0.43,0,0,1,0,0,0
"58",0.00600000000000001,0,0,1,0,0,1
"59",0.154,0,0,0,0,1,0
"60",0.622,0,0,1,0,0,0
"61",0.702,0,1,0,0,0,0
"62",0.278,0,0,0,1,0,0
"63",0.65,0,0,0,1,0,0
"64",0.0620000000000001,0,0,0,0,1,0
"65",0,0,1,0,0,0,1
"66",0.098,0,1,0,0,0,0
"67",0.174,0,0,1,0,0,0
"68",0.29,0,0,0,1,0,0
"69",0.54,0,0,1,0,0,0
"70",0.0639999999999999,0,1,0,0,0,0
"71",0.644,0,0,1,0,0,0
"72",0.638,0,0,1,0,0,0
"73",0.624,0,0,1,0,0,0
"74",0.762,0,0,0,0,1,0
"75",0.264,0,0,1,0,0,0
"76",0,0,0,1,0,0,1
"77",0.196,0,0,0,0,1,0
"78",0.056,0,0,0,0,1,1
"79",0.97,0,0,1,0,0,0
"80",0.15,0,0,0,0,1,0
"81",0.112,0,0,0,1,0,0
"82",0.66,0,0,1,0,0,0
"83",0.362,0,0,0,1,0,0
"84",0.0580000000000001,0,0,0,0,1,1
"85",0.888,0,0,1,0,0,0
"86",0.106,0,0,1,0,0,0
"87",0.0639999999999999,0,0,0,0,1,0
"88",0.0639999999999999,0,1,0,0,0,0
"89",0.12,0,0,0,0,1,0
"90",0.188,0,0,1,0,0,0
"91",0.436,0,0,1,0,0,0
"92",0.112,0,0,1,0,0,0
"93",0.132,0,0,0,0,1,0
"94",0.174,0,0,1,0,0,0
"95",0.182,0,0,0,0,1,0
"96",0.254,0,0,0,0,1,0
"97",0.714,0,0,1,0,0,0
"98",0.356,0,0,1,0,0,0
"99",0.236,0,0,1,0,0,0
"100",0.272,0,1,0,0,0,0
"101",0.0679999999999999,0,0,0,1,0,0
"102",0.62,0,0,0,1,0,0
"103",0.086,0,0,1,0,0,0
"104",0.796,0,0,1,0,0,0
"105",0.098,0,1,0,0,0,0
"106",0.41,0,0,1,0,0,0
"107",0.62,0,0,1,0,0,0
"108",0.36,0,0,1,0,0,0
"109",0.496,0,0,1,0,0,0
"110",0.0639999999999999,0,0,0,0,1,0
"111",0.16,0,0,1,0,0,0
"112",0.906,0,0,1,0,0,0
"113",0.36,0,0,1,0,0,0
"114",0.474,0,0,0,0,1,0
"115",0.026,0,0,1,0,0,1
"116",0.498,0,0,1,0,0,0
"117",0.17,0,0,1,0,0,0
"118",0.158,0,0,0,1,0,1
"119",0.024,0,1,0,0,0,0
"120",0.584,0,0,0,0,1,0
"121",0.42,0,0,0,1,0,0
"122",0.088,0,0,0,0,1,0
"123",0.284,0,0,1,0,0,0
"124",0.234,0,1,0,0,0,0
"125",0.348,0,0,1,0,0,0
"126",0.234,0,0,0,1,0,0
"127",0.022,0,0,0,1,0,1
"128",0.044,0,1,0,0,0,1
"129",0.606,0,1,0,0,0,0
"130",0.23,0,0,1,0,0,0
"131",0.878,0,0,1,0,0,0
"132",0.272,0,0,0,0,1,0
"133",0.126,0,1,0,0,0,0
"134",0.408,0,0,1,0,0,0
"135",0.372,0,0,0,1,0,0
"136",0.428,0,1,0,0,0,0
"137",0.314,0,0,0,0,1,0
"138",0.132,0,0,0,0,1,0
"139",0.226,0,0,0,0,1,0
"140",0.464,0,0,1,0,0,0
"141",0.216,0,1,0,0,0,0
"142",0.564,0,0,1,0,0,0
"143",0.858,0,0,1,0,0,0
"144",0.294,0,0,0,1,0,0
"145",0.274,0,0,1,0,0,0
"146",0.0620000000000001,0,0,0,1,0,1
"147",0.706,0,1,0,0,0,0
"148",0.086,0,1,0,0,0,1
"149",0.518,0,0,1,0,0,0
"150",0.214,0,0,0,0,1,0
"151",0.272,0,0,1,0,0,0
"152",0.232,0,0,1,0,0,0
"153",0.912,0,0,1,0,0,0
"154",0.268,0,1,0,0,0,0
"155",0.11,0,0,0,1,0,0
"156",0.13,0,0,0,0,1,1
"157",0.564,0,0,1,0,0,0
"158",0.09,0,0,0,0,1,1
"159",0.034,0,0,1,0,0,1
"160",0.09,0,1,0,0,0,1
"161",0.452,0,0,1,0,0,0
"162",0.268,0,0,1,0,0,0
"163",0.002,0,0,1,0,0,1
"164",0.156,0,0,0,0,1,0
"165",0.426,0,1,0,0,0,0
"166",0.072,0,0,0,1,0,1
"167",0.48,0,0,1,0,0,0
"168",0.192,0,1,0,0,0,0
"169",0.01,0,0,1,0,0,1
"170",0.234,0,0,1,0,0,0
"171",0.548,0,1,0,0,0,0
"172",0.544,0,0,0,0,1,0
"173",0.372,0,0,1,0,0,0
"174",0.116,0,0,0,0,1,0
"175",0.29,0,0,0,0,1,0
"176",0.0580000000000001,0,0,1,0,0,0
"177",0.78,0,0,1,0,0,0
"178",0.258,0,0,1,0,0,0
"179",0.042,0,0,0,0,1,1
"180",0.238,0,0,1,0,0,0
"181",0.004,0,0,1,0,0,1
"182",0.114,0,0,1,0,0,0
"183",0.35,0,0,0,1,0,0
"184",0.918,0,0,0,1,0,0
"185",0.454,0,0,1,0,0,0
"186",0.02,0,0,0,0,1,0
"187",0.424,0,0,0,0,1,0
"188",0.176,0,0,0,1,0,0
"189",0.03,0,0,0,0,1,0
"190",0.26,0,0,1,0,0,0
"191",0.198,0,0,1,0,0,0
"192",0.212,0,0,0,0,1,0
"193",0.892,0,0,0,1,0,0
"194",0.014,0,0,1,0,0,0
"195",0.39,0,0,0,0,1,0
"196",0.338,0,0,1,0,0,0
"197",0.032,0,0,0,1,0,0
"198",0.35,0,0,0,0,1,0
"199",0.622,0,0,0,0,1,0
"200",0.57,0,0,1,0,0,0
"201",0.442,0,0,1,0,0,0
"202",0.47,0,0,0,1,0,0
"203",0.456,0,0,0,1,0,0
"204",0.334,0,0,1,0,0,0
"205",0.396,0,0,0,1,0,0
"206",0.332,0,1,0,0,0,0
"207",0.964,0,0,0,1,0,0
"208",0.16,0,0,0,0,1,0
"209",0.228,0,0,0,1,0,0
"210",0.078,0,0,0,0,1,0
"211",0.00600000000000001,0,1,0,0,0,0
"212",0.846,0,0,0,1,0,0
"213",0,0,0,0,0,1,1
"214",0.508,0,0,1,0,0,0
"215",0.236,0,0,1,0,0,0
"216",0.056,0,0,0,0,1,1
"217",0.0679999999999999,0,1,0,0,0,0
"218",0.364,0,0,1,0,0,0
"219",0.684,0,0,1,0,0,0
"220",0.8,0,0,0,0,1,0
"221",0.438,0,0,1,0,0,0
"222",0.02,0,0,1,0,0,1
"223",0.382,0,0,0,1,0,0
"224",0.468,0,0,1,0,0,0
"225",0.07,0,0,1,0,0,0
"226",0.76,0,0,0,0,1,0
"227",0.11,0,0,0,1,0,0
"228",0.566,0,1,0,0,0,0
"229",0.352,0,0,0,0,1,0
"230",0.038,0,0,0,1,0,0
"231",0.196,0,1,0,0,0,0
"232",0.85,0,0,1,0,0,0
"233",0.272,0,0,1,0,0,0
"234",0.636,0,0,0,0,1,0
"235",0.566,0,0,0,1,0,0
"236",0.558,0,0,1,0,0,0
"237",0.556,0,1,0,0,0,0
"238",0.272,0,0,0,0,1,0
"239",0.012,0,0,0,0,1,1
"240",0.17,0,0,1,0,0,0
"241",0.394,0,0,1,0,0,0
"242",0.312,0,0,1,0,0,0
"243",0.048,0,0,0,1,0,0
"244",0.01,0,0,1,0,0,1
"245",0.64,0,0,0,0,1,0
"246",0.206,0,0,0,0,1,0
"247",0.044,0,0,1,0,0,0
"248",0.268,0,0,1,0,0,0
"249",0.122,0,0,0,0,1,0
"250",0.288,0,0,1,0,0,0
"251",0.108,0,0,0,0,1,0
"252",0.244,0,1,0,0,0,0
"253",0.182,0,0,0,0,1,0
"254",0.17,0,0,1,0,0,0
"255",0.326,0,0,1,0,0,0
"256",0.34,0,0,1,0,0,0
"257",0.014,0,0,0,0,1,0
"258",0.128,0,0,0,0,1,0
"259",0.23,0,0,0,0,1,0
