"","","","","","","","bonf_res"
"1",0.948,0,1,0,0,0,0
"2",0.188,0,0,0,0,1,0
"3",0.532,0,1,0,0,0,0
"4",0.424,0,0,0,0,1,0
"5",0.076,0,1,0,0,0,1
"6",0.398,0,0,0,0,1,0
"7",0.526,0,0,1,0,0,0
"8",0.212,0,0,0,0,1,0
"9",0.682,0,0,0,1,0,0
"10",0.954,0,0,0,0,1,0
"11",0.862,0,0,0,0,1,0
"12",0.876,0,0,1,0,0,0
"13",0.078,0,0,0,0,1,1
"14",0.076,0,1,0,0,0,0
"15",0.364,0,1,0,0,0,0
"16",0.81,0,0,0,0,1,0
"17",0.928,0,0,1,0,0,0
"18",0.074,0,0,1,0,0,0
"19",0.052,0,0,0,0,1,0
"20",0.01,0,0,0,0,1,1
"21",0.504,0,0,0,0,1,0
"22",0.962,0,0,1,0,0,0
"23",0.996,0,0,1,0,0,0
"24",0.094,0,1,0,0,0,0
"25",0.842,0,0,1,0,0,0
"26",0.928,0,1,0,0,0,0
"27",0.982,0,1,0,0,0,0
"28",0.706,0,0,1,0,0,0
"29",0.324,0,0,0,0,1,0
"30",0.244,0,0,0,0,1,0
"31",0.95,0,0,0,0,1,0
"32",0.612,0,1,0,0,0,0
"33",0.74,0,0,1,0,0,0
"34",0.25,0,0,0,0,1,0
"35",0.086,1,0,0,0,0,1
"36",0.022,0,1,0,0,0,0
"37",0.142,0,0,0,0,1,0
"38",0.318,0,0,1,0,0,0
"39",0.128,0,0,0,0,1,0
"40",0.128,0,0,0,0,1,0
"41",0.028,0,0,0,0,1,1
"42",0.752,0,1,0,0,0,0
"43",0.844,0,1,0,0,0,0
"44",0.678,0,0,0,0,1,0
"45",0.504,0,1,0,0,0,0
"46",0.292,0,0,0,0,1,0
"47",0.51,0,0,1,0,0,0
"48",0.858,0,1,0,0,0,0
"49",0.4,0,0,0,0,1,0
"50",0.472,0,1,0,0,0,0
"51",0.036,0,0,0,0,1,0
"52",0.078,0,0,1,0,0,0
"53",0.47,0,0,0,0,1,0
"54",0.854,0,0,0,0,1,0
"55",0.97,0,1,0,0,0,0
"56",0.432,0,0,0,0,1,0
"57",0.486,0,1,0,0,0,0
"58",0.114,0,0,0,0,1,0
"59",0.524,0,0,0,1,0,0
"60",0.22,0,0,0,0,1,0
"61",0.304,0,1,0,0,0,0
"62",0.02,0,0,0,0,1,1
"63",0.09,0,0,0,1,0,1
"64",0.644,0,1,0,0,0,0
"65",0.818,1,0,0,0,0,0
"66",0.686,0,0,1,0,0,0
"67",0.788,0,1,0,0,0,0
"68",0.352,0,0,0,0,1,0
"69",0.938,0,0,0,0,1,0
"70",0.3,0,0,1,0,0,0
"71",0.494,0,0,0,0,1,0
"72",0.622,0,0,0,0,1,0
"73",0.962,0,1,0,0,0,0
"74",0.558,0,1,0,0,0,0
"75",0.876,0,0,1,0,0,0
"76",0.376,0,0,0,0,1,0
"77",0.536,0,0,0,0,1,0
"78",0.524,0,0,1,0,0,0
"79",0.05,0,1,0,0,0,0
"80",0.122,0,0,0,0,1,0
"81",0.356,0,1,0,0,0,0
"82",0.478,0,0,0,0,1,0
"83",0.752,0,1,0,0,0,0
"84",0.33,0,1,0,0,0,0
"85",0.282,0,0,0,1,0,0
"86",0.404,0,0,1,0,0,0
"87",0.92,0,0,0,0,1,0
"88",0.224,0,1,0,0,0,0
"89",0.084,0,0,0,1,0,0
"90",0.482,0,0,1,0,0,0
"91",0.594,0,0,0,0,1,0
"92",0.766,0,0,0,0,1,0
"93",0.41,0,1,0,0,0,0
"94",0.748,0,0,1,0,0,0
"95",0.58,0,0,0,0,1,0
"96",0.634,0,0,0,1,0,0
"97",0.49,0,0,0,0,1,0
"98",0.948,0,1,0,0,0,0
"99",0.402,0,1,0,0,0,0
"100",0.486,0,1,0,0,0,0
"101",0.922,0,0,0,0,1,0
"102",0.362,0,0,0,0,1,0
"103",0.922,0,0,1,0,0,0
"104",0.706,0,0,0,0,1,0
"105",0.256,0,0,0,1,0,0
"106",0.352,0,0,0,0,1,0
"107",0.518,0,1,0,0,0,0
"108",0.798,0,0,0,0,1,0
"109",0.16,0,0,0,0,1,0
"110",0.126,0,0,0,0,1,0
"111",0.914,0,1,0,0,0,0
"112",0.524,0,0,0,1,0,0
"113",0.048,0,0,0,0,1,0
"114",0.482,0,1,0,0,0,0
"115",0.052,0,0,0,0,1,0
"116",0.456,0,0,1,0,0,0
"117",0.892,0,0,1,0,0,0
"118",0.46,0,0,0,1,0,0
"119",0.35,0,0,0,0,1,0
"120",0.924,0,1,0,0,0,0
"121",0.568,0,0,0,0,1,0
"122",0.11,0,0,0,0,1,0
"123",0.954,0,0,1,0,0,0
"124",0.028,0,0,0,0,1,0
"125",0.728,0,0,1,0,0,0
"126",0.838,0,0,0,0,1,0
"127",0.816,0,0,0,0,1,0
"128",0.874,0,0,0,1,0,0
"129",0.494,0,0,1,0,0,0
"130",0.564,0,0,0,0,1,0
"131",0.394,0,0,0,0,1,0
"132",0.476,0,0,0,0,1,0
"133",0.774,0,0,0,0,1,0
"134",0.144,0,0,0,0,1,0
"135",0.424,0,0,1,0,0,0
"136",0.966,0,0,1,0,0,0
"137",0.468,0,0,1,0,0,0
