"","","","","","","","bonf_res"
"1",0.24,0,0,0,0,1,0
"2",0.798,0,1,0,0,0,0
"3",0.33,0,0,0,0,1,0
"4",0.716,0,0,1,0,0,0
"5",0.72,0,0,0,0,1,0
"6",0.832,0,1,0,0,0,0
"7",0.95,0,0,0,0,1,0
"8",0.246,0,0,0,1,0,0
"9",0.974,0,1,0,0,0,0
"10",0.78,0,1,0,0,0,0
"11",0.882,0,1,0,0,0,0
"12",0.298,0,0,1,0,0,0
"13",0.576,0,0,1,0,0,0
"14",0.258,0,1,0,0,0,0
"15",0.1,0,0,1,0,0,1
"16",0.154,0,0,0,0,1,0
"17",0.246,0,0,1,0,0,0
"18",0.584,0,0,0,0,1,0
"19",0.374,0,1,0,0,0,0
"20",0.00800000000000001,0,0,0,0,1,1
"21",0.762,0,0,1,0,0,0
"22",0.0679999999999999,0,0,0,0,1,0
"23",0.196,0,0,1,0,0,0
"24",0.886,0,0,1,0,0,0
"25",0.568,0,0,1,0,0,0
"26",0.916,0,1,0,0,0,0
"27",0.186,0,1,0,0,0,0
"28",0.824,0,1,0,0,0,0
"29",0.132,0,1,0,0,0,0
"30",0.348,0,0,0,0,1,0
"31",0.578,0,0,0,0,1,0
"32",0.494,0,1,0,0,0,0
"33",0.35,0,0,0,0,1,0
"34",0.07,0,0,0,0,1,0
"35",0.166,0,1,0,0,0,0
"36",0.928,0,1,0,0,0,0
"37",0.704,0,1,0,0,0,0
"38",0.314,0,0,0,0,1,0
"39",0.744,0,1,0,0,0,0
"40",0.678,0,0,1,0,0,0
"41",0.688,0,0,0,1,0,0
"42",0.726,0,0,0,0,1,0
"43",0.824,0,1,0,0,0,0
"44",0.038,0,0,1,0,0,1
"45",0.112,0,0,0,0,1,0
"46",0.158,0,0,1,0,0,0
"47",0.804,0,1,0,0,0,0
"48",0.278,0,0,0,0,1,0
"49",0.432,0,0,0,0,1,0
"50",0.906,0,0,0,1,0,0
"51",0.466,0,1,0,0,0,0
"52",0.648,0,0,1,0,0,0
"53",0.378,0,0,0,1,0,0
"54",0.702,0,0,0,0,1,0
"55",0.268,0,0,0,0,1,0
"56",0.344,0,0,0,1,0,0
"57",0.516,0,1,0,0,0,0
"58",0.97,0,1,0,0,0,0
"59",0.222,0,0,0,0,1,0
"60",0.788,0,0,0,0,1,0
"61",0.34,0,1,0,0,0,0
"62",0.828,0,0,0,1,0,0
"63",0.43,0,1,0,0,0,0
"64",0.434,0,1,0,0,0,0
"65",0.01,0,0,0,0,1,1
"66",0.922,0,0,0,1,0,0
"67",0.552,0,0,0,0,1,0
"68",0.564,0,0,0,0,1,0
"69",0.036,0,0,0,0,1,0
"70",0.028,0,0,0,1,0,1
"71",0.726,0,0,0,0,1,0
"72",0.704,0,0,0,1,0,0
"73",0.356,0,0,0,0,1,0
"74",0.536,0,0,0,0,1,0
"75",0.356,0,1,0,0,0,0
"76",0.652,0,0,1,0,0,0
"77",0.264,0,0,0,1,0,0
"78",0.026,0,0,0,0,1,0
"79",0.262,0,1,0,0,0,0
"80",0.176,0,0,0,0,1,0
"81",0.232,0,0,1,0,0,0
"82",0.112,0,1,0,0,0,0
"83",0.884,0,1,0,0,0,0
"84",0.956,0,0,1,0,0,0
"85",0.00800000000000001,0,0,0,0,1,1
