"","","","bonf_res"
"1",0.908,1,0
"2",0.03,1,0
"3",0.076,1,0
"4",0.944,1,0
"5",0.6,1,0
"6",0.14,1,0
"7",0.888,1,0
"8",0.666,1,0
"9",0.05,1,1
"10",0.6,1,0
"11",0.396,1,0
"12",0.45,1,0
"13",0.272,1,0
"14",0.704,1,0
"15",0.04,1,0
"16",0.824,1,0
"17",0.286,1,0
"18",0.64,1,0
"19",0.79,1,0
"20",0.334,1,0
"21",0.652,1,0
"22",0,1,1
"23",0.336,1,0
"24",0.378,1,0
"25",0.772,1,0
"26",0.17,1,0
"27",0.706,1,0
"28",0.338,1,0
"29",0.6,1,0
"30",0.648,1,0
"31",0.212,1,0
"32",0.02,1,0
"33",0.914,1,0
"34",0.456,1,0
"35",0.296,1,0
"36",0.704,1,0
"37",0.37,1,0
"38",0.12,1,0
"39",0.256,1,0
"40",0.112,1,1
"41",0.336,1,0
"42",0.082,1,0
"43",0.318,1,0
"44",0.174,1,0
"45",0.72,1,0
"46",0.202,1,0
"47",0.052,1,1
"48",0.904,1,0
"49",0.58,1,0
"50",0.662,1,0
"51",0.284,1,0
"52",0.074,1,0
"53",0.652,1,0
"54",0.458,1,0
"55",0.86,1,0
"56",0.682,1,0
"57",0.246,1,0
"58",0.254,1,0
"59",0.84,1,0
"60",0.338,1,0
"61",0.686,1,0
"62",0.414,1,0
"63",0.75,1,0
"64",0.056,1,0
"65",0.572,1,0
"66",0.012,1,1
"67",0.4,1,0
"68",0.224,1,0
"69",0.168,1,0
"70",0.156,1,1
"71",0.042,1,1
"72",0.21,1,0
"73",0.286,1,0
"74",0.438,1,0
"75",0.534,1,0
"76",0.52,1,0
"77",0.00800000000000001,1,1
"78",0.476,1,0
"79",0.022,1,1
"80",0.07,1,0
"81",0.138,1,0
"82",0.242,1,0
"83",0.854,1,0
"84",0.42,1,0
"85",0.234,1,0
"86",0.614,1,0
"87",0.428,1,0
"88",0.516,1,0
"89",0.176,1,0
"90",0.816,1,0
"91",0.558,1,0
"92",0.662,1,0
"93",0.382,1,0
"94",0.182,1,0
"95",0.328,1,0
"96",0.454,1,0
"97",0.61,1,0
"98",0.632,1,0
"99",0.398,1,0
"100",0.02,1,1
"101",0.322,1,0
"102",0.168,1,0
"103",0.166,1,0
"104",0.016,1,1
"105",0.366,1,0
"106",0.022,1,1
"107",0.826,1,0
"108",0.206,1,1
"109",0.0580000000000001,1,1
"110",0.668,1,0
"111",0.11,1,1
"112",0.94,1,0
"113",0.94,1,0
"114",0.0620000000000001,1,0
"115",0.26,1,0
"116",0.00800000000000001,1,1
"117",0.41,1,0
"118",0.326,1,0
"119",0.036,1,1
"120",0.278,1,0
"121",0.662,1,0
"122",0.246,1,0
"123",0.294,1,0
"124",0.46,1,0
"125",0.466,1,0
"126",0.376,1,0
"127",0.904,1,0
"128",0.282,1,0
"129",0.582,1,0
"130",0.086,1,0
"131",0.412,1,0
"132",0.21,1,0
"133",0.472,1,0
"134",0.52,1,0
"135",0.032,1,1
"136",0.00800000000000001,1,0
"137",0.916,1,0
"138",0.332,1,0
"139",0.148,1,0
"140",0.918,1,0
"141",0.958,1,0
"142",0.084,1,0
"143",0.106,1,0
"144",0.848,1,0
"145",0.084,1,1
"146",0.588,1,0
"147",0.74,1,0
"148",0.164,1,1
"149",0.244,1,1
"150",0.264,1,0
"151",0.324,1,0
"152",0.0679999999999999,1,0
"153",0.1,1,0
"154",0.002,1,1
"155",0.096,1,0
"156",0.692,1,0
"157",0.296,1,0
"158",0.04,1,1
"159",0.23,1,0
"160",0.158,1,0
"161",0.09,1,1
"162",0.212,1,0
"163",0.228,1,0
"164",0.0679999999999999,1,0
"165",0.85,1,0
"166",0.564,1,0
"167",0.814,1,0
"168",0.18,1,0
"169",0.08,1,0
"170",0.636,1,0
"171",0.07,1,0
"172",0.0580000000000001,1,1
"173",0.04,1,1
"174",0.126,1,0
"175",0.466,1,0
"176",0.152,1,0
"177",0.012,1,1
"178",0.1,1,0
"179",0.12,1,0
"180",0.698,1,0
"181",0.296,1,0
"182",0.474,1,0
"183",0.492,1,0
"184",0.358,1,0
"185",0.646,1,0
"186",0.08,1,0
"187",0.804,1,0
"188",0.47,1,0
"189",0.25,1,0
"190",0.24,1,0
"191",0.286,1,0
"192",0.078,1,0
"193",0.16,1,0
"194",0.19,1,0
"195",0.902,1,0
"196",0.096,1,0
"197",0.442,1,0
"198",0.47,1,0
"199",0.038,1,1
"200",0.762,1,0
"201",0.044,1,0
"202",0.654,1,0
"203",0.048,1,0
"204",0.814,1,0
"205",0.378,1,0
"206",0.822,1,0
"207",0.044,1,0
"208",0.192,1,0
"209",0.468,1,0
"210",0.372,1,0
"211",0.01,1,1
"212",0.016,1,0
"213",0.306,1,0
"214",0.63,1,0
"215",0.468,1,0
"216",0.082,1,1
"217",0.382,1,0
"218",0.606,1,0
"219",0.86,1,0
"220",0.166,1,0
"221",0.216,1,0
"222",0.602,1,0
"223",0.376,1,0
"224",0.532,1,0
"225",0.44,1,0
"226",0.28,1,0
"227",0.03,1,0
"228",0.81,1,0
"229",0.278,1,0
"230",0.464,1,0
"231",0.506,1,0
"232",0.14,1,0
"233",0.61,1,0
"234",0.552,1,0
"235",0.018,1,1
"236",0.54,1,0
"237",0.198,1,0
"238",0.646,1,0
"239",0.406,1,0
"240",0.79,1,0
"241",0.084,1,1
"242",0.166,1,0
"243",0.156,1,1
"244",0.162,1,0
"245",0.994,1,0
"246",0.252,1,0
"247",0.458,1,0
"248",0.25,1,0
"249",0.804,1,0
"250",0.162,1,1
"251",0.13,1,0
"252",0.512,1,0
"253",0.384,1,0
"254",0.042,1,0
"255",0.15,1,0
"256",0.374,1,0
"257",0.084,1,0
"258",0.504,1,0
"259",0.432,1,0
"260",0.36,1,0
"261",0.496,1,0
"262",0.0600000000000001,1,0
"263",0.226,1,0
"264",0.606,1,0
"265",0.802,1,0
"266",0.424,1,0
"267",0.9,1,0
"268",0.394,1,0
"269",0.926,1,0
"270",0.36,1,0
"271",0.254,1,0
"272",0.352,1,0
"273",0.69,1,0
"274",0.0639999999999999,1,0
"275",0.126,1,1
"276",0.196,1,0
"277",0.364,1,0
"278",0.104,1,1
"279",0.602,1,0
"280",0.352,1,0
"281",0.286,1,0
"282",0.072,1,1
"283",0.18,1,0
"284",0.19,1,0
"285",0.03,1,1
"286",0.576,1,0
"287",0.41,1,0
"288",0.64,1,0
"289",0.342,1,0
"290",0.136,1,0
"291",0.098,1,0
"292",0.218,1,0
"293",0.856,1,0
"294",0.328,1,0
"295",0.358,1,0
"296",0.236,1,0
"297",0.66,1,0
"298",0.106,1,0
"299",0.302,1,0
"300",0.646,1,0
"301",0.076,1,0
"302",0.03,1,0
"303",0.396,1,0
"304",0.226,1,0
"305",0.36,1,0
"306",0.42,1,0
"307",0.074,1,0
"308",0.896,1,0
"309",0.08,1,1
"310",0.252,1,0
"311",0.534,1,0
"312",0.11,1,0
"313",0.45,1,0
"314",0.218,1,0
"315",0.268,1,0
"316",0.716,1,0
"317",0.034,1,1
"318",0.316,1,0
"319",0.192,1,0
"320",0.364,1,0
"321",0.004,1,1
"322",0.634,1,0
"323",0.598,1,0
"324",0.9,1,0
"325",0.15,1,0
"326",0.272,1,0
"327",0.59,1,0
"328",0.66,1,0
"329",0.34,1,0
"330",0.59,1,0
"331",0.496,1,0
"332",0.54,1,0
"333",0.418,1,0
"334",0.388,1,0
"335",0.452,1,0
"336",0.096,1,0
"337",0.828,1,0
"338",0.184,1,0
"339",0.758,1,0
"340",0.072,1,0
"341",0.746,1,0
"342",0.472,1,0
"343",0.758,1,0
"344",0.204,1,0
"345",0.09,1,0
"346",0.766,1,0
"347",0.622,1,0
"348",0.182,1,0
"349",0.176,1,0
"350",0.126,1,0
"351",0.114,1,0
"352",0.036,1,1
"353",0.36,1,0
"354",0.392,1,0
"355",0.816,1,0
"356",0.104,1,1
"357",0.042,1,0
"358",0.004,1,1
"359",0.472,1,0
"360",0.024,1,1
"361",0.664,1,0
"362",0.614,1,0
"363",0.538,1,0
"364",0.198,1,0
"365",0.47,1,0
"366",0.424,1,0
"367",0.104,1,0
"368",0.66,1,0
"369",0.19,1,0
"370",0.962,1,0
"371",0.668,1,0
"372",0,1,1
"373",0.0580000000000001,1,0
"374",0.082,1,0
"375",0.224,1,0
"376",0.018,1,1
"377",0.318,1,0
"378",0.226,1,0
"379",0.284,1,0
"380",0.188,1,0
"381",0.034,1,1
"382",0.076,1,1
"383",0.00800000000000001,1,1
"384",0.204,1,0
"385",0.35,1,0
"386",0.548,1,0
"387",0.338,1,0
"388",0.604,1,0
"389",0.014,1,0
"390",0.354,1,0
"391",0.656,1,0
"392",0.222,1,0
"393",0.734,1,0
"394",0.076,1,1
"395",0.732,1,0
"396",0.666,1,0
"397",0.362,1,1
"398",0.35,1,0
"399",0.254,1,0
"400",0.8,1,0
