"","","","bonf_res"
"1",0.232,1,0
"2",0.617333333333333,1,0
"3",0.968,1,0
"4",0.788,1,0
"5",0.64,1,0
"6",0.266666666666667,1,0
"7",0.0306666666666666,1,0
"8",0.534666666666667,1,0
"9",0.974666666666667,1,0
"10",0.274666666666667,1,0
"11",0.108,1,0
"12",0.842666666666667,1,0
"13",0.765333333333333,1,0
"14",0.604,1,0
"15",0.386666666666667,1,0
"16",0.634666666666667,1,0
"17",0.0573333333333333,1,0
"18",0.228,1,0
"19",0.205333333333333,1,0
"20",0.00266666666666671,1,1
"21",0.758666666666667,1,0
"22",0.721333333333333,1,0
"23",0.610666666666667,1,0
"24",0.608,1,0
"25",0.0133333333333333,1,0
"26",0.489333333333333,1,0
"27",0.942666666666667,1,0
"28",0.929333333333333,1,0
"29",0.86,1,0
"30",0.941333333333333,1,0
"31",0.646666666666667,1,0
"32",0.701333333333333,1,0
"33",0.312,1,0
"34",0.106666666666667,1,0
"35",0.346666666666667,1,0
"36",0.906666666666667,1,0
"37",0.317333333333333,1,0
"38",0.8,1,0
"39",0.326666666666667,1,0
"40",0.482666666666667,1,0
"41",0.0786666666666667,1,0
"42",0.386666666666667,1,0
"43",0.632,1,0
"44",0.956,1,0
"45",0.913333333333333,1,0
"46",0.865333333333333,1,0
"47",0.341333333333333,1,0
"48",0.00266666666666671,1,1
"49",0.944,1,0
"50",0.452,1,0
"51",0.26,1,0
"52",0.545333333333333,1,0
"53",0.478666666666667,1,0
"54",0.441333333333333,1,0
"55",0.34,1,0
"56",0.672,1,0
"57",0.176,1,0
"58",0.956,1,0
"59",0.929333333333333,1,0
"60",0.469333333333333,1,0
"61",0.546666666666667,1,0
"62",0.225333333333333,1,0
"63",0.365333333333333,1,0
"64",0.706666666666667,1,0
"65",0.885333333333333,1,0
"66",0.248,1,0
"67",0.286666666666667,1,0
"68",0.956,1,0
"69",0.269333333333333,1,0
"70",0.324,1,0
"71",0.24,1,0
"72",0.524,1,0
"73",0.784,1,0
"74",0.434666666666667,1,0
"75",0.642666666666667,1,0
"76",0.478666666666667,1,0
"77",0.317333333333333,1,0
"78",0.293333333333333,1,0
"79",0.66,1,0
"80",0.0906666666666667,1,0
"81",0.54,1,0
"82",0.18,1,0
"83",0.204,1,0
"84",0.609333333333333,1,0
"85",0.212,1,0
"86",0.530666666666667,1,0
"87",0.570666666666667,1,0
"88",0.481333333333333,1,0
"89",0.816,1,0
"90",0.938666666666667,1,0
"91",0.389333333333333,1,0
"92",0.394666666666667,1,0
"93",0.0493333333333333,1,0
"94",0.688,1,0
"95",0.437333333333333,1,0
"96",0.528,1,0
