"","","","bonf_res"
"1",0.406666666666667,1,0
"2",0.194666666666667,1,0
"3",0.241333333333333,1,0
"4",0.0293333333333333,1,1
"5",0.0133333333333333,1,0
"6",0.628,1,0
"7",0.113333333333333,1,1
"8",0.552,1,0
"9",0.325333333333333,1,0
"10",0.605333333333333,1,0
"11",0.410666666666667,1,0
"12",0.861333333333333,1,0
"13",0.957333333333333,1,0
"14",0.169333333333333,1,0
"15",0.193333333333333,1,0
"16",0.0346666666666666,1,0
"17",0.422666666666667,1,0
"18",0.172,1,0
"19",0.289333333333333,1,0
"20",0.982666666666667,1,0
"21",0.573333333333333,1,0
"22",0.252,1,0
"23",0.436,1,0
"24",0.270666666666667,1,0
"25",0.676,1,0
"26",0.209333333333333,1,0
"27",0.416,1,0
"28",0.478666666666667,1,0
"29",0.894666666666667,1,0
"30",0.945333333333333,1,0
"31",0.809333333333333,1,0
"32",0.650666666666667,1,0
"33",0.133333333333333,1,0
"34",0,1,1
"35",0.92,1,0
"36",0.4,1,0
"37",0.533333333333333,1,0
"38",0.376,1,0
"39",0.633333333333333,1,0
"40",0.986666666666667,1,0
"41",0.650666666666667,1,0
"42",0.450666666666667,1,0
"43",0.98,1,0
"44",0.969333333333333,1,0
"45",0.281333333333333,1,0
"46",0.224,1,0
"47",0.409333333333333,1,0
"48",0.370666666666667,1,0
"49",0.482666666666667,1,0
"50",0.858666666666667,1,0
"51",0.0106666666666667,1,1
"52",0.669333333333333,1,0
"53",0.930666666666667,1,0
"54",0.709333333333333,1,0
"55",0.570666666666667,1,0
"56",0.797333333333333,1,0
"57",0.494666666666667,1,0
"58",0.736,1,0
"59",0.766666666666667,1,0
"60",0.368,1,0
"61",0.236,1,0
"62",0.709333333333333,1,0
"63",0.497333333333333,1,0
"64",0.186666666666667,1,0
"65",0.521333333333333,1,0
"66",0.806666666666667,1,0
"67",0.468,1,0
"68",0.9,1,0
"69",0.910666666666667,1,0
"70",0.225333333333333,1,0
"71",0.448,1,0
"72",0.00800000000000001,1,1
"73",0.0933333333333334,1,0
"74",0.525333333333333,1,0
"75",0.533333333333333,1,0
"76",0.625333333333333,1,0
"77",0.786666666666667,1,0
"78",0.337333333333333,1,0
"79",0.0679999999999999,1,0
"80",0.2,1,0
"81",0.745333333333333,1,0
"82",0.434666666666667,1,0
"83",0.0413333333333333,1,0
"84",0.78,1,0
"85",0.54,1,0
"86",0.666666666666667,1,0
"87",0.630666666666667,1,0
"88",0.709333333333333,1,0
"89",0.446666666666667,1,0
"90",0.118666666666667,1,0
"91",0.894666666666667,1,0
"92",0.724,1,0
"93",0.636,1,0
"94",0.84,1,0
"95",0.882666666666667,1,0
"96",0.872,1,0
"97",0.912,1,0
"98",0.016,1,1
"99",0.634666666666667,1,0
"100",0.398666666666667,1,0
"101",0.854666666666667,1,0
"102",0.898666666666667,1,0
"103",0.406666666666667,1,0
"104",0.837333333333333,1,0
"105",0.249333333333333,1,0
"106",0.733333333333333,1,0
"107",0.681333333333333,1,0
"108",0.0173333333333333,1,0
"109",0.34,1,0
"110",0.146666666666667,1,1
"111",0.776,1,0
"112",0.728,1,0
"113",0.233333333333333,1,0
"114",0.265333333333333,1,0
"115",0.616,1,0
"116",0.956,1,0
"117",0.354666666666667,1,0
"118",0.518666666666667,1,0
"119",0.658666666666667,1,0
"120",0.330666666666667,1,0
"121",0.74,1,0
"122",0.849333333333333,1,0
"123",0.810666666666667,1,0
"124",0.538666666666667,1,0
"125",0.272,1,0
"126",0.126666666666667,1,0
"127",0.632,1,0
"128",0.905333333333333,1,0
"129",0.833333333333333,1,0
"130",0.885333333333333,1,0
"131",0.690666666666667,1,0
"132",0.450666666666667,1,0
"133",0.004,1,1
"134",0.224,1,0
"135",0.438666666666667,1,0
"136",0.437333333333333,1,0
"137",0.0906666666666667,1,0
"138",0.388,1,0
"139",0.376,1,0
"140",0.286666666666667,1,0
"141",0.286666666666667,1,0
"142",0.604,1,0
"143",0.648,1,0
"144",0.606666666666667,1,0
"145",0.178666666666667,1,1
"146",0.833333333333333,1,0
"147",0.818666666666667,1,0
"148",0.345333333333333,1,0
"149",0.885333333333333,1,0
"150",0.7,1,0
"151",0.494666666666667,1,0
"152",0.348,1,0
"153",0.492,1,0
"154",0.445333333333333,1,0
"155",0.942666666666667,1,0
"156",0.0413333333333333,1,0
"157",0.850666666666667,1,0
"158",0.770666666666667,1,0
"159",0.306666666666667,1,0
"160",0.670666666666667,1,0
"161",0.708,1,0
"162",0.641333333333333,1,0
"163",0.850666666666667,1,0
"164",0.481333333333333,1,0
"165",0.201333333333333,1,0
"166",0.418666666666667,1,0
"167",0.170666666666667,1,0
"168",0.757333333333333,1,0
"169",0.785333333333333,1,0
"170",0.904,1,0
"171",0.94,1,0
"172",0.349333333333333,1,0
"173",0.586666666666667,1,0
"174",0.797333333333333,1,0
"175",0.790666666666667,1,0
"176",0.637333333333333,1,0
"177",0.536,1,0
"178",0.588,1,0
"179",0.852,1,0
"180",0.424,1,0
"181",0.890666666666667,1,0
"182",0.641333333333333,1,0
"183",0.0506666666666666,1,0
"184",0.621333333333333,1,0
"185",0.513333333333333,1,0
"186",0.172,1,0
"187",0.084,1,0
"188",0.226666666666667,1,0
"189",0.645333333333333,1,0
"190",0.198666666666667,1,0
"191",0.178666666666667,1,0
"192",0.369333333333333,1,0
"193",0.582666666666667,1,0
"194",0.613333333333333,1,0
"195",0.608,1,0
"196",0.0413333333333333,1,0
"197",0.322666666666667,1,0
"198",0.693333333333333,1,0
"199",0.125333333333333,1,0
"200",0.529333333333333,1,0
"201",0.729333333333333,1,0
"202",0.832,1,0
"203",0.98,1,0
"204",0.857333333333333,1,0
"205",0.294666666666667,1,0
"206",0.52,1,0
"207",0.868,1,0
"208",0.673333333333333,1,0
"209",0.518666666666667,1,0
"210",0.572,1,0
