"","","","","","","","","bonf_res"
"1",0.664,0,1,0,0,0,0,0
"2",0.048,1,0,0,0,0,0,1
"3",0.136,0,1,0,0,0,0,0
"4",0.236,0,1,0,0,0,0,0
"5",0.004,0,1,0,0,0,0,1
"6",0.816,1,0,0,0,0,0,0
"7",0.032,0,1,0,0,0,0,0
"8",0.804,1,0,0,0,0,0,0
"9",0.0600000000000001,1,0,0,0,0,0,0
"10",0.512,0,1,0,0,0,0,0
"11",0.512,0,1,0,0,0,0,0
"12",0.004,0,1,0,0,0,0,1
"13",0.02,1,0,0,0,0,0,1
"14",0.22,0,1,0,0,0,0,0
"15",0.192,0,1,0,0,0,0,0
"16",0.0600000000000001,0,1,0,0,0,0,0
"17",0.572,0,1,0,0,0,0,0
"18",0.36,0,1,0,0,0,0,0
"19",0.504,0,1,0,0,0,0,0
"20",0.684,0,1,0,0,0,0,0
"21",0.44,0,1,0,0,0,0,0
"22",0.324,0,1,0,0,0,0,0
"23",0.38,0,1,0,0,0,0,0
"24",0.404,0,1,0,0,0,0,0
"25",0.26,0,1,0,0,0,0,0
"26",0.172,0,1,0,0,0,0,0
"27",0.336,0,1,0,0,0,0,0
"28",0.704,0,1,0,0,0,0,0
"29",0.82,1,0,0,0,0,0,0
"30",0.416,1,0,0,0,0,0,0
"31",0.08,1,0,0,0,0,0,0
"32",0.188,0,1,0,0,0,0,0
"33",0.152,1,0,0,0,0,0,0
"34",0.8,0,1,0,0,0,0,0
"35",0.508,1,0,0,0,0,0,0
"36",0.596,0,1,0,0,0,0,0
"37",0.544,0,1,0,0,0,0,0
"38",0.156,0,1,0,0,0,0,0
"39",0.732,0,1,0,0,0,0,0
"40",0.024,0,1,0,0,0,0,1
"41",0.624,0,1,0,0,0,0,0
"42",0.136,0,1,0,0,0,0,0
"43",0.184,0,1,0,0,0,0,0
"44",0.724,0,1,0,0,0,0,0
"45",0.296,0,1,0,0,0,0,0
"46",0.848,0,1,0,0,0,0,0
"47",0.388,0,1,0,0,0,0,0
"48",0.04,0,1,0,0,0,0,0
"49",0.024,0,1,0,0,0,0,0
"50",0.052,1,0,0,0,0,0,0
"51",0.144,0,1,0,0,0,0,0
"52",0.608,1,0,0,0,0,0,0
"53",0.644,0,0,1,0,0,0,0
"54",0.2,0,1,0,0,0,0,0
"55",0.004,1,0,0,0,0,0,1
"56",0.184,0,1,0,0,0,0,0
"57",0.0600000000000001,0,1,0,0,0,0,0
"58",0.98,0,1,0,0,0,0,0
"59",0.164,0,1,0,0,0,0,0
"60",0.864,0,1,0,0,0,0,0
"61",0.884,1,0,0,0,0,0,0
"62",0.02,0,1,0,0,0,0,1
"63",0.0679999999999999,0,1,0,0,0,0,0
"64",0.164,0,1,0,0,0,0,0
"65",0.488,0,1,0,0,0,0,0
"66",0.012,0,1,0,0,0,0,1
"67",0.1,0,1,0,0,0,0,0
"68",0.62,1,0,0,0,0,0,0
"69",0.036,0,1,0,0,0,0,1
"70",0,0,1,0,0,0,0,1
"71",0.232,1,0,0,0,0,0,0
"72",0.64,0,1,0,0,0,0,0
"73",0.54,0,1,0,0,0,0,0
"74",0.192,0,0,1,0,0,0,0
"75",0.256,1,0,0,0,0,0,0
"76",0.52,0,1,0,0,0,0,0
"77",0.596,0,1,0,0,0,0,0
"78",0.164,0,1,0,0,0,0,0
"79",0.348,0,1,0,0,0,0,0
"80",0.052,0,1,0,0,0,0,0
"81",0.224,0,1,0,0,0,0,0
"82",0.156,0,1,0,0,0,0,0
"83",0.132,0,1,0,0,0,0,0
"84",0.992,1,0,0,0,0,0,0
"85",0.044,0,1,0,0,0,0,0
"86",0.204,1,0,0,0,0,0,0
"87",0.256,0,1,0,0,0,0,0
"88",0.6,0,1,0,0,0,0,0
"89",0.38,1,0,0,0,0,0,0
"90",0,0,1,0,0,0,0,1
"91",0.364,0,1,0,0,0,0,0
"92",0.96,1,0,0,0,0,0,0
"93",0.528,1,0,0,0,0,0,0
"94",0.128,0,0,1,0,0,0,0
"95",0.368,0,1,0,0,0,0,0
"96",0.224,0,1,0,0,0,0,0
"97",0.432,0,1,0,0,0,0,0
"98",0.004,0,1,0,0,0,0,0
"99",0.336,0,1,0,0,0,0,0
"100",0.412,0,1,0,0,0,0,0
"101",0.392,0,1,0,0,0,0,0
"102",0.96,0,1,0,0,0,0,0
"103",0.204,0,1,0,0,0,0,0
"104",0.144,0,1,0,0,0,0,0
"105",0.268,0,1,0,0,0,0,0
"106",0.312,0,1,0,0,0,0,0
"107",0.368,0,1,0,0,0,0,0
"108",0,0,1,0,0,0,0,1
"109",0.076,0,1,0,0,0,0,0
"110",0.02,0,1,0,0,0,0,0
"111",0.04,0,1,0,0,0,0,0
"112",0.188,0,1,0,0,0,0,0
"113",0.048,0,1,0,0,0,0,0
"114",0.276,0,1,0,0,0,0,0
"115",0.14,0,1,0,0,0,0,0
"116",0.044,0,1,0,0,0,0,1
"117",0.104,0,1,0,0,0,0,0
"118",0.852,0,1,0,0,0,0,0
"119",0.32,1,0,0,0,0,0,0
"120",0.26,0,1,0,0,0,0,0
"121",0.3,0,1,0,0,0,0,0
"122",0.448,0,1,0,0,0,0,0
"123",0.00800000000000001,0,1,0,0,0,0,0
"124",0.532,0,1,0,0,0,0,0
"125",0.264,0,1,0,0,0,0,0
