"","","","","","","","","bonf_res"
"1",0.796,0,1,0,0,0,0,0
"2",0.32,0,0,0,0,0,1,0
"3",0.968,0,1,0,0,0,0,0
"4",0.736,0,1,0,0,0,0,0
"5",0.572,0,0,0,1,0,0,0
"6",0.42,0,0,1,0,0,0,0
"7",0.708,1,0,0,0,0,0,0
"8",0.996,0,1,0,0,0,0,0
"9",0.072,0,1,0,0,0,0,0
"10",0.864,0,1,0,0,0,0,0
"11",0.456,0,1,0,0,0,0,0
"12",0.936,0,0,0,0,0,1,0
"13",0.508,0,1,0,0,0,0,0
"14",0.816,1,0,0,0,0,0,0
"15",0.336,1,0,0,0,0,0,0
"16",0.784,0,1,0,0,0,0,0
"17",0.984,0,1,0,0,0,0,0
"18",0.908,0,1,0,0,0,0,0
"19",0.532,0,0,0,1,0,0,0
"20",0.468,0,0,0,0,0,1,0
"21",0.288,0,0,1,0,0,0,0
"22",0.216,1,0,0,0,0,0,0
"23",0.772,0,1,0,0,0,0,0
"24",0.048,0,1,0,0,0,0,0
"25",0.476,0,0,0,1,0,0,0
"26",0.688,0,0,1,0,0,0,0
"27",0.728,0,0,1,0,0,0,0
"28",0.636,0,1,0,0,0,0,0
"29",0.508,0,1,0,0,0,0,0
"30",0.476,0,0,1,0,0,0,0
"31",0.872,0,0,0,0,1,0,0
"32",0.316,0,1,0,0,0,0,0
"33",0.436,0,0,1,0,0,0,0
"34",0.5,1,0,0,0,0,0,0
"35",0.384,0,1,0,0,0,0,0
"36",0.648,0,1,0,0,0,0,0
"37",0.268,1,0,0,0,0,0,0
"38",0.676,1,0,0,0,0,0,0
"39",0.516,0,0,1,0,0,0,0
"40",0.544,1,0,0,0,0,0,0
"41",0.724,0,1,0,0,0,0,0
"42",0.072,0,1,0,0,0,0,0
"43",0.324,0,1,0,0,0,0,0
"44",0.952,0,0,1,0,0,0,0
"45",0.88,1,0,0,0,0,0,0
"46",0.52,0,1,0,0,0,0,0
"47",0.7,0,0,0,0,1,0,0
"48",0.84,1,0,0,0,0,0,0
"49",0.108,0,1,0,0,0,0,0
"50",0.292,0,0,1,0,0,0,0
"51",0.492,0,0,0,1,0,0,0
"52",0.932,0,0,0,1,0,0,0
"53",0.228,0,1,0,0,0,0,0
"54",0.312,0,0,0,1,0,0,0
"55",0.9,0,0,1,0,0,0,0
"56",0.812,0,1,0,0,0,0,0
"57",0.992,0,1,0,0,0,0,0
"58",0.012,0,0,0,1,0,0,0
"59",0.828,0,1,0,0,0,0,0
"60",0.76,0,0,0,0,0,1,0
"61",0.68,0,1,0,0,0,0,0
"62",0.816,0,1,0,0,0,0,0
"63",0.444,0,1,0,0,0,0,0
"64",0.124,1,0,0,0,0,0,0
"65",0.54,1,0,0,0,0,0,0
"66",0.168,1,0,0,0,0,0,0
"67",0.22,0,1,0,0,0,0,0
"68",0.508,0,1,0,0,0,0,0
"69",0.636,0,0,1,0,0,0,0
"70",0.516,1,0,0,0,0,0,0
"71",0.564,0,1,0,0,0,0,0
"72",0.024,0,1,0,0,0,0,0
"73",0.408,0,0,1,0,0,0,0
"74",0.32,0,0,1,0,0,0,0
"75",0.276,0,1,0,0,0,0,0
"76",0.64,0,1,0,0,0,0,0
"77",0.516,0,1,0,0,0,0,0
"78",0.556,0,1,0,0,0,0,0
"79",0.12,0,1,0,0,0,0,0
"80",0.428,0,1,0,0,0,0,0
"81",0.184,0,1,0,0,0,0,0
"82",0.816,0,1,0,0,0,0,0
"83",0.8,0,0,1,0,0,0,0
"84",0.876,0,1,0,0,0,0,0
"85",0.748,1,0,0,0,0,0,0
"86",0.364,1,0,0,0,0,0,0
"87",0.228,0,0,1,0,0,0,0
"88",0.848,0,1,0,0,0,0,0
"89",0.968,0,0,0,1,0,0,0
"90",0.388,0,1,0,0,0,0,0
"91",0.44,1,0,0,0,0,0,0
"92",0.388,1,0,0,0,0,0,0
"93",0.86,0,0,1,0,0,0,0
"94",0.368,0,1,0,0,0,0,0
"95",0.34,1,0,0,0,0,0,0
"96",0.0600000000000001,0,0,0,0,0,1,0
"97",0.996,0,1,0,0,0,0,0
"98",0.596,1,0,0,0,0,0,0
"99",0.432,0,0,1,0,0,0,0
"100",0.152,0,1,0,0,0,0,0
"101",0.232,1,0,0,0,0,0,0
"102",0.024,0,1,0,0,0,0,1
"103",0.004,0,1,0,0,0,0,1
"104",0.028,0,1,0,0,0,0,1
"105",0.632,0,1,0,0,0,0,0
"106",0.696,0,0,0,0,0,1,0
"107",0.476,0,1,0,0,0,0,0
"108",0.62,0,1,0,0,0,0,0
"109",0.708,0,0,1,0,0,0,0
"110",0.732,0,0,0,1,0,0,0
"111",0.384,0,1,0,0,0,0,0
"112",0.392,1,0,0,0,0,0,0
"113",0.58,0,1,0,0,0,0,0
"114",0.756,0,1,0,0,0,0,0
"115",0.876,1,0,0,0,0,0,0
"116",0.46,1,0,0,0,0,0,0
"117",0.928,0,1,0,0,0,0,0
"118",0.112,0,0,1,0,0,0,0
"119",0.296,0,1,0,0,0,0,0
"120",0.032,0,1,0,0,0,0,0
"121",0.588,0,0,0,1,0,0,0
"122",0.572,0,1,0,0,0,0,0
"123",0.588,0,0,0,1,0,0,0
"124",0.468,0,1,0,0,0,0,0
"125",0.852,0,0,0,1,0,0,0
"126",0.672,0,1,0,0,0,0,0
"127",0.02,0,0,0,0,0,1,0
"128",0.468,0,1,0,0,0,0,0
"129",0.684,1,0,0,0,0,0,0
"130",0.644,1,0,0,0,0,0,0
"131",0.824,0,1,0,0,0,0,0
"132",0.232,0,0,1,0,0,0,0
"133",0.26,0,1,0,0,0,0,0
"134",0.828,0,1,0,0,0,0,0
"135",0.496,0,1,0,0,0,0,0
"136",0.572,0,1,0,0,0,0,0
"137",0.516,0,0,0,0,0,1,0
"138",0.992,0,1,0,0,0,0,0
"139",0.98,0,1,0,0,0,0,0
"140",0.336,0,1,0,0,0,0,0
"141",0.172,0,1,0,0,0,0,0
"142",1,0,0,0,1,0,0,0
"143",0.964,0,1,0,0,0,0,0
"144",0.472,0,0,1,0,0,0,0
"145",0.372,0,1,0,0,0,0,0
"146",0.632,0,0,1,0,0,0,0
"147",0.1,1,0,0,0,0,0,0
"148",0.076,0,0,0,1,0,0,0
"149",0.452,0,0,1,0,0,0,0
"150",0.584,0,1,0,0,0,0,0
