"","","","bonf_res"
"1",0.536,0.536,0
"2",0.025,0.025,1
"3",0.9955,0.9955,0
"4",0.018,0.018,0
"5",0.4625,0.4625,0
"6",0.7805,0.7805,0
"7",0.32,0.32,0
"8",0.1355,0.1355,0
"9",0.109,0.109,0
"10",0.335,0.335,0
"11",0.212,0.212,0
"12",0.35,0.35,0
"13",0.644,0.644,0
"14",0.1665,0.1665,0
"15",0.1485,0.1485,0
"16",0.24,0.24,0
"17",0.082,0.082,0
"18",0.2795,0.2795,0
"19",0.268,0.268,0
"20",0.2395,0.2395,0
"21",0.423,0.423,0
"22",0.0515,0.0515,0
"23",0.2965,0.2965,0
"24",0.1495,0.1495,0
"25",0.4265,0.4265,0
"26",0.8805,0.8805,0
"27",0.274,0.274,0
"28",0.2,0.2,0
"29",0.652,0.652,0
"30",0.296,0.296,0
"31",0.827,0.827,0
"32",0.1435,0.1435,0
"33",0.485,0.485,0
"34",0.5865,0.5865,0
"35",0.6825,0.6825,0
"36",0.1555,0.1555,0
"37",0.018,0.018,1
"38",0.453,0.453,0
"39",0.14,0.14,0
"40",0.1125,0.1125,0
"41",0.22,0.22,0
"42",0.172,0.172,0
"43",0.1645,0.1645,0
"44",0.5275,0.5275,0
"45",0.7115,0.7115,0
"46",0.3435,0.3435,0
"47",0.536,0.536,0
"48",0.0765,0.0765,0
"49",0.007,0.007,1
"50",0.6305,0.6305,0
"51",1,1,0
"52",0.707,0.707,0
"53",0.19,0.19,0
"54",0.8705,0.8705,0
"55",0.5885,0.5885,0
"56",0.9785,0.9785,0
"57",0.67,0.67,0
"58",0.715,0.715,0
"59",0.196,0.196,0
"60",0.4845,0.4845,0
"61",0.819,0.819,0
"62",0.2095,0.2095,0
"63",0.644,0.644,0
"64",0.475,0.475,0
"65",0.546,0.546,0
"66",0.4955,0.4955,0
"67",0.1495,0.1495,0
"68",0.6605,0.6605,0
"69",0.6785,0.6785,0
"70",0.2565,0.2565,0
"71",0.978,0.978,0
"72",0.397,0.397,0
"73",0.76,0.76,0
"74",0.3325,0.3325,0
"75",0.669,0.669,0
"76",0.997,0.997,0
"77",0.512,0.512,0
"78",0.902,0.902,0
"79",0.069,0.069,0
"80",0.8145,0.8145,0
"81",0.6105,0.6105,0
"82",0.037,0.037,0
"83",0.6705,0.6705,0
"84",0.482,0.482,0
"85",0.898,0.898,0
"86",0.7865,0.7865,0
"87",0.399,0.399,0
"88",0.929,0.929,0
"89",0.2555,0.2555,0
"90",0.945,0.945,0
"91",0.798,0.798,0
"92",0.7805,0.7805,0
"93",0.0065,0.0065,1
"94",0.1165,0.1165,0
"95",0.383,0.383,0
"96",0.2185,0.2185,0
"97",0.665,0.665,0
"98",0.993,0.993,0
"99",0.3235,0.3235,0
"100",0.646,0.646,0
"101",0.205,0.205,0
"102",0.679,0.679,0
"103",0.4975,0.4975,0
"104",0.4365,0.4365,0
"105",0.905,0.905,0
"106",0.0705,0.0705,0
"107",0.977,0.977,0
"108",0.9145,0.9145,0
"109",0.166,0.166,0
"110",0.5225,0.5225,0
"111",0.642,0.642,0
"112",0.4175,0.4175,0
"113",0.2735,0.2735,0
"114",0.8705,0.8705,0
"115",0.44,0.44,0
"116",0.571,0.571,0
"117",0.517,0.517,0
"118",0.4485,0.4485,0
"119",0.7395,0.7395,0
"120",0.269,0.269,0
"121",0.9745,0.9745,0
"122",0.951,0.951,0
"123",0.336,0.336,0
"124",0.76,0.76,0
"125",0.824,0.824,0
"126",0.762,0.762,0
"127",0.744,0.744,0
"128",0.138,0.138,0
"129",0.6665,0.6665,0
"130",0.6185,0.6185,0
"131",0.514,0.514,0
"132",0.707,0.707,0
"133",0.8885,0.8885,0
"134",0.66,0.66,0
"135",0.687,0.687,0
"136",0.6745,0.6745,0
"137",0.4695,0.4695,0
"138",0.7175,0.7175,0
"139",0.5095,0.5095,0
"140",0.06,0.06,0
"141",0.622,0.622,0
"142",0.854,0.854,0
"143",0.991,0.991,0
"144",0.4625,0.4625,0
"145",0.36,0.36,0
"146",0.2985,0.2985,0
"147",0.8525,0.8525,0
"148",0.676,0.676,0
"149",0.513,0.513,0
"150",0.758,0.758,0
"151",0.211,0.211,0
"152",0.8905,0.8905,0
"153",0.3955,0.3955,0
"154",0.125,0.125,0
"155",0.484,0.484,0
"156",0.504,0.504,0
"157",0.5335,0.5335,0
"158",0.1475,0.1475,0
"159",0.496,0.496,0
"160",0.124,0.124,0
"161",0.4885,0.4885,0
"162",0.7005,0.7005,0
