"","","","bonf_res"
"1",0.000666666666666667,0.000666666666666667,1
"2",0.001,0.001,1
"3",0.002,0.002,1
"4",0.000333333333333333,0.000333333333333333,1
"5",0.001,0.001,1
"6",0.011,0.011,1
"7",0,0,1
"8",0,0,1
"9",0.000666666666666667,0.000666666666666667,1
"10",0.054,0.054,0
"11",0.097,0.097,0
"12",0.000333333333333333,0.000333333333333333,1
"13",0.002,0.002,1
"14",0,0,1
"15",0.00266666666666667,0.00266666666666667,1
"16",0.00133333333333333,0.00133333333333333,1
"17",0.002,0.002,1
"18",0,0,1
"19",0.000666666666666667,0.000666666666666667,1
"20",0.001,0.001,1
"21",0.001,0.001,1
"22",0,0,1
"23",0.000333333333333333,0.000333333333333333,1
"24",0.0396666666666667,0.0396666666666667,0
"25",0.000333333333333333,0.000333333333333333,1
"26",0.000333333333333333,0.000333333333333333,1
"27",0.0463333333333333,0.0463333333333333,0
"28",0.000333333333333333,0.000333333333333333,1
"29",0.00166666666666667,0.00166666666666667,1
"30",0.003,0.003,1
"31",0.096,0.096,0
"32",0.018,0.018,1
"33",0.00133333333333333,0.00133333333333333,1
"34",0.00133333333333333,0.00133333333333333,1
"35",0,0,1
"36",0.00133333333333333,0.00133333333333333,1
"37",0.000666666666666667,0.000666666666666667,1
"38",0.00133333333333333,0.00133333333333333,1
"39",0.00166666666666667,0.00166666666666667,1
"40",0.113666666666667,0.113666666666667,0
"41",0.356333333333333,0.356333333333333,0
"42",0.001,0.001,1
"43",0.000333333333333333,0.000333333333333333,1
"44",0.00233333333333333,0.00233333333333333,1
"45",0.00166666666666667,0.00166666666666667,1
"46",0.000333333333333333,0.000333333333333333,1
"47",0.000666666666666667,0.000666666666666667,1
"48",0.008,0.008,1
"49",0.000333333333333333,0.000333333333333333,1
"50",0.000666666666666667,0.000666666666666667,1
"51",0,0,1
"52",0,0,1
"53",0,0,1
"54",0.00466666666666667,0.00466666666666667,1
"55",0.000333333333333333,0.000333333333333333,1
"56",0.006,0.006,1
"57",0.000666666666666667,0.000666666666666667,1
