"","","","bonf_res"
"1",0.281333333333333,1,0
"2",0.146666666666667,1,0
"3",0.928,1,0
"4",0.0506666666666666,1,1
"5",0.292,1,0
"6",0.088,1,0
"7",0,1,1
"8",0.0933333333333334,1,0
"9",0.0600000000000001,1,0
"10",0.381333333333333,1,0
"11",0.0226666666666666,1,0
"12",0.116,1,0
"13",0.144,1,0
"14",0.572,1,0
"15",0.589333333333333,1,0
"16",0.0093333333333333,1,0
"17",0.236,1,0
"18",0.0946666666666667,1,0
"19",0.0466666666666666,1,1
"20",0.056,1,0
"21",0.589333333333333,1,0
"22",0.0173333333333333,1,1
"23",0.274666666666667,1,0
"24",0.0053333333333333,1,0
"25",0.236,1,0
"26",0.189333333333333,1,0
"27",0.334666666666667,1,0
"28",0.110666666666667,1,0
"29",0.0053333333333333,1,0
"30",0.004,1,1
"31",0.012,1,1
"32",0.810666666666667,1,0
"33",0.633333333333333,1,0
"34",0.361333333333333,1,0
"35",0.270666666666667,1,0
"36",0.326666666666667,1,0
"37",0.646666666666667,1,0
"38",0.493333333333333,1,0
"39",0.0906666666666667,1,0
"40",0.572,1,0
"41",0.04,1,0
"42",0.176,1,0
"43",0.0266666666666666,1,0
"44",0.245333333333333,1,0
"45",0.908,1,0
"46",0.0746666666666667,1,0
"47",0.321333333333333,1,0
"48",0.533333333333333,1,0
"49",0.088,1,0
"50",0.18,1,0
"51",0.184,1,0
"52",0.0679999999999999,1,0
"53",0.106666666666667,1,1
"54",0.0386666666666666,1,0
"55",0.08,1,0
"56",0.0306666666666666,1,0
"57",0.705333333333333,1,0
"58",0.388,1,0
"59",0.0613333333333334,1,1
"60",0.02,1,0
"61",0.125333333333333,1,0
"62",0.456,1,0
"63",0.193333333333333,1,0
"64",0.213333333333333,1,0
"65",0.329333333333333,1,0
"66",0.664,1,0
"67",0.416,1,0
"68",0.12,1,0
"69",0.112,1,0
"70",0.597333333333333,1,0
"71",0.198666666666667,1,0
"72",0.185333333333333,1,0
"73",0.462666666666667,1,0
"74",0.146666666666667,1,0
"75",0.0133333333333333,1,1
"76",0.362666666666667,1,0
"77",0.234666666666667,1,0
"78",0.590666666666667,1,0
"79",0.456,1,0
"80",0.426666666666667,1,0
"81",0.504,1,0
"82",0.02,1,1
"83",0.768,1,0
"84",0.0986666666666667,1,0
"85",0.133333333333333,1,0
"86",0.392,1,0
"87",0.168,1,0
"88",0.376,1,0
"89",0.138666666666667,1,0
"90",0.213333333333333,1,0
"91",0.0613333333333334,1,0
"92",0.42,1,0
"93",0.204,1,0
"94",0.742666666666667,1,0
"95",0.281333333333333,1,0
"96",0.14,1,0
"97",0.072,1,0
"98",0.316,1,0
"99",0.145333333333333,1,0
"100",0.0853333333333334,1,0
"101",0.716,1,0
"102",0.418666666666667,1,0
"103",0.353333333333333,1,0
"104",0.6,1,0
"105",0.254666666666667,1,0
"106",0.0813333333333334,1,0
"107",0.0639999999999999,1,0
"108",0.673333333333333,1,0
"109",0.850666666666667,1,0
"110",0.337333333333333,1,0
