"","","","bonf_res"
"1",0.98,1,0
"2",0.7,1,0
"3",0.37,1,0
"4",0.866,1,0
"5",0.644,1,0
"6",0.562,1,0
"7",0.072,1,0
"8",0.242,1,0
"9",0.216,1,0
"10",0.246,1,0
"11",0.506,1,0
"12",0.846,1,0
"13",0.004,1,1
"14",0.402,1,0
"15",0.894,1,0
"16",0.866,1,0
"17",0.25,1,0
"18",0.112,1,1
"19",0.388,1,0
"20",0.174,1,0
"21",0.634,1,0
"22",0.16,1,0
"23",0.998,1,0
"24",0.202,1,0
"25",0.826,1,0
"26",0.89,1,0
"27",0.1,1,1
"28",0.284,1,0
"29",0.468,1,0
"30",0.352,1,0
"31",0.19,1,0
"32",0.464,1,0
"33",0.304,1,0
"34",0.12,1,0
"35",0.14,1,0
"36",0.626,1,0
"37",0.636,1,0
"38",0.018,1,1
"39",0.222,1,0
"40",0.248,1,0
"41",0.594,1,0
"42",0.318,1,0
"43",0.358,1,0
"44",0.284,1,0
"45",0.47,1,0
"46",0.08,1,1
"47",0.776,1,0
"48",0.038,1,0
"49",0.37,1,0
"50",0.084,1,0
"51",0.908,1,0
"52",0.656,1,0
"53",0.394,1,0
"54",0.25,1,0
"55",0.36,1,0
"56",0.782,1,0
"57",0.548,1,0
"58",0.824,1,0
"59",0.416,1,0
"60",0.278,1,0
"61",0.642,1,0
"62",0.47,1,0
"63",0.28,1,0
"64",0.69,1,0
"65",0.35,1,0
"66",0.804,1,0
"67",0.74,1,0
"68",0.556,1,0
"69",0.082,1,0
"70",0.79,1,0
"71",0.234,1,0
"72",0.492,1,0
"73",0.274,1,0
"74",0.672,1,0
"75",0.438,1,0
"76",0.238,1,0
"77",0.184,1,0
"78",0.206,1,0
"79",0.646,1,0
"80",0.562,1,0
"81",0.272,1,0
"82",0.11,1,0
"83",0.362,1,0
"84",0.322,1,0
"85",0.076,1,0
"86",0.112,1,0
"87",0.304,1,0
"88",0.708,1,0
"89",0.744,1,0
"90",0.546,1,0
"91",0.426,1,0
"92",0.242,1,0
"93",0.974,1,0
"94",0.868,1,0
"95",0.4,1,0
"96",0.532,1,0
"97",0.808,1,0
"98",0.64,1,0
"99",0.01,1,0
"100",0.49,1,0
"101",0.548,1,0
"102",0.784,1,0
"103",0.412,1,0
"104",0.612,1,0
"105",0.802,1,0
"106",0.056,1,0
"107",0.772,1,0
"108",0.332,1,0
"109",0.558,1,0
"110",0.12,1,0
"111",0.132,1,0
"112",0.926,1,0
"113",0.914,1,0
"114",0.164,1,0
"115",0.234,1,0
"116",0.016,1,0
"117",0.00600000000000001,1,1
"118",0.544,1,0
"119",0.574,1,0
"120",0.888,1,0
"121",0.574,1,0
"122",0.162,1,0
"123",0.554,1,0
"124",0.048,1,0
"125",0.832,1,0
"126",0.192,1,0
"127",0.026,1,0
"128",0.188,1,0
"129",0.29,1,0
"130",0.782,1,0
"131",0.162,1,0
"132",0.04,1,1
"133",0.31,1,0
"134",0.328,1,0
"135",0.198,1,0
"136",0.142,1,0
"137",0.674,1,0
"138",0.482,1,0
"139",0.262,1,0
"140",0.518,1,0
"141",0.48,1,0
"142",0.242,1,0
"143",0.016,1,1
"144",0.142,1,0
"145",0.556,1,0
"146",0.666,1,0
"147",0.544,1,0
"148",0.828,1,0
"149",0.218,1,0
"150",0.776,1,0
"151",0.04,1,1
"152",0.986,1,0
"153",0.412,1,0
"154",0.196,1,0
"155",0.238,1,0
"156",0.852,1,0
"157",0.0580000000000001,1,0
"158",0.286,1,0
"159",0.812,1,0
"160",0.864,1,0
"161",0.07,1,0
"162",0.126,1,0
"163",0.052,1,1
"164",0.45,1,0
"165",0.138,1,0
"166",0.324,1,0
"167",0.294,1,0
"168",0.292,1,0
"169",0.598,1,0
"170",0.982,1,0
"171",0.976,1,0
"172",0.136,1,0
"173",0.524,1,0
"174",0.754,1,0
"175",0.222,1,0
"176",0.556,1,0
"177",0.566,1,0
"178",0.454,1,0
"179",0.52,1,0
"180",0.65,1,0
"181",0.088,1,0
"182",0.448,1,0
"183",0.052,1,0
"184",0.866,1,0
"185",0.686,1,0
"186",0.088,1,0
"187",0.428,1,0
"188",0.62,1,0
"189",0.96,1,0
"190",0.138,1,0
"191",0.252,1,0
"192",0.004,1,1
"193",0.99,1,0
"194",0.176,1,0
"195",0.786,1,0
"196",0.3,1,0
"197",0.128,1,0
"198",0.532,1,0
"199",0.042,1,1
"200",0.84,1,0
"201",0.782,1,0
"202",0.212,1,0
