"","","","","","","","bonf_res"
"1",0.048,0,1,0,0,0,0
"2",0.112,0,0,0,0,1,0
"3",0.092,0,0,0,0,1,1
"4",0.62,0,0,0,0,1,0
"5",0.224,0,0,1,0,0,0
"6",0.128,0,0,1,0,0,0
"7",0.016,0,0,0,0,1,1
"8",0.456,0,1,0,0,0,0
"9",0.212,0,0,0,0,1,0
"10",0.192,0,0,0,1,0,0
"11",0.812,0,0,0,0,1,0
"12",0.952,0,0,1,0,0,0
"13",0.312,0,1,0,0,0,0
"14",0.028,0,0,0,0,1,0
"15",0.548,0,0,1,0,0,0
"16",0,0,0,0,0,1,1
"17",0.776,0,0,1,0,0,0
"18",0.048,0,1,0,0,0,1
"19",0.472,0,0,0,0,1,0
"20",1,0,0,0,1,0,0
"21",0.436,0,0,0,0,1,0
"22",0.024,0,0,0,0,1,0
"23",0.108,0,0,1,0,0,0
"24",0.684,0,0,0,1,0,0
"25",0.048,0,1,0,0,0,0
"26",0.748,0,1,0,0,0,0
"27",0.084,0,0,1,0,0,0
"28",0.176,0,0,0,0,1,0
"29",0.376,0,1,0,0,0,0
"30",0.4,0,0,0,0,1,0
"31",0.028,0,0,0,0,1,1
"32",0.884,0,0,0,1,0,0
"33",0.488,0,1,0,0,0,0
"34",0.728,0,0,1,0,0,0
"35",0.072,0,0,0,0,1,0
"36",0.192,0,0,0,0,1,0
"37",0.304,0,1,0,0,0,0
"38",0.348,0,0,0,0,1,0
"39",0.288,0,0,0,0,1,0
"40",0.004,0,0,0,0,1,1
"41",0.492,0,1,0,0,0,0
"42",1,0,0,1,0,0,0
"43",0.168,0,1,0,0,0,0
"44",0.84,0,0,0,0,1,0
"45",0.86,0,0,0,0,1,0
"46",0.224,0,1,0,0,0,0
"47",0.444,0,0,0,0,1,0
"48",0.08,0,0,0,0,1,0
"49",0.08,0,0,1,0,0,0
"50",0.02,0,0,0,0,1,1
"51",0.988,0,1,0,0,0,0
"52",0.38,0,1,0,0,0,0
"53",0.764,0,0,0,0,1,0
"54",0.696,0,0,0,0,1,0
"55",0.72,0,1,0,0,0,0
"56",0.26,0,0,0,0,1,0
"57",0.228,0,1,0,0,0,0
"58",0.324,0,0,0,0,1,0
"59",0.692,0,0,0,0,1,0
"60",0.56,1,0,0,0,0,0
"61",0.028,0,1,0,0,0,0
"62",0.36,0,0,0,0,1,0
"63",0.48,0,0,0,1,0,0
"64",0.104,0,0,0,0,1,0
"65",0.9,0,1,0,0,0,0
"66",0.276,0,0,0,0,1,0
"67",0.344,0,0,0,0,1,0
"68",0.108,0,0,0,0,1,0
"69",0.076,0,1,0,0,0,0
"70",0.0679999999999999,0,0,0,1,0,0
"71",0.308,0,1,0,0,0,0
"72",0.484,0,0,1,0,0,0
"73",0.0639999999999999,0,1,0,0,0,0
"74",0.176,1,0,0,0,0,0
"75",0.848,0,1,0,0,0,0
"76",0.572,0,0,1,0,0,0
"77",0.156,0,0,0,0,1,0
"78",0.148,0,0,0,0,1,0
"79",0.988,0,0,0,0,1,0
"80",0.664,0,0,1,0,0,0
"81",0.14,0,0,0,0,1,0
"82",0.928,0,0,1,0,0,0
"83",0.868,0,1,0,0,0,0
"84",0.092,0,0,0,0,1,0
"85",0.9,0,0,0,0,1,0
"86",0.296,0,0,0,0,1,0
"87",0.916,0,1,0,0,0,0
"88",0.04,0,1,0,0,0,0
"89",0.292,0,1,0,0,0,0
"90",0.004,0,0,1,0,0,1
"91",0.82,0,0,0,0,1,0
"92",0.692,0,1,0,0,0,0
"93",0.712,0,1,0,0,0,0
"94",0.496,0,1,0,0,0,0
"95",0.672,0,1,0,0,0,0
"96",0.0639999999999999,0,0,0,0,1,0
"97",0.04,0,1,0,0,0,0
"98",0.728,0,1,0,0,0,0
"99",0.872,0,1,0,0,0,0
"100",0.576,0,0,1,0,0,0
"101",0.124,0,0,0,0,1,0
"102",0.744,0,0,1,0,0,0
"103",0.368,0,1,0,0,0,0
"104",0.244,0,0,0,0,1,0
"105",0.292,0,0,0,0,1,0
"106",0.172,0,0,1,0,0,0
"107",0.22,0,0,0,0,1,1
"108",0.196,0,0,0,0,1,0
"109",0.764,0,1,0,0,0,0
"110",0.032,0,0,0,0,1,1
"111",0.212,0,1,0,0,0,0
"112",0.076,0,0,0,0,1,0
"113",0.376,0,0,0,0,1,0
"114",0.82,1,0,0,0,0,0
"115",0.00800000000000001,0,1,0,0,0,1
"116",0.82,0,0,0,0,1,0
"117",0.14,0,0,0,0,1,0
"118",0.052,0,0,0,0,1,0
"119",0.056,0,0,1,0,0,1
"120",0.524,0,0,1,0,0,0
"121",0.104,0,0,1,0,0,0
"122",0.372,0,0,1,0,0,0
"123",0.816,0,1,0,0,0,0
"124",0.56,0,1,0,0,0,0
"125",0,0,0,0,0,1,1
"126",0.024,0,0,0,0,1,0
"127",0.824,0,0,1,0,0,0
"128",0.016,0,1,0,0,0,1
"129",0.3,0,1,0,0,0,0
"130",0,0,1,0,0,0,1
"131",0.788,0,1,0,0,0,0
"132",0.172,0,0,0,1,0,0
"133",0.284,0,0,0,0,1,0
"134",0.396,0,1,0,0,0,0
"135",0.308,1,0,0,0,0,0
"136",0.852,0,1,0,0,0,0
"137",0.22,1,0,0,0,0,0
"138",0.456,1,0,0,0,0,0
"139",0.612,0,0,1,0,0,0
"140",0.036,0,0,0,0,1,0
"141",0.472,0,0,0,0,1,0
"142",0.304,0,1,0,0,0,0
"143",0.132,0,1,0,0,0,0
"144",0.22,0,0,0,0,1,0
"145",0.4,0,1,0,0,0,0
"146",0.308,0,1,0,0,0,0
"147",0.184,0,0,0,0,1,0
"148",0.312,0,0,0,0,1,0
"149",0.868,0,0,0,0,1,0
"150",0.388,0,0,0,0,1,0
"151",0.504,0,0,0,1,0,0
"152",0.34,0,0,0,1,0,0
"153",0.336,0,1,0,0,0,0
"154",0.448,0,1,0,0,0,0
"155",0.316,1,0,0,0,0,0
"156",0.372,0,0,0,0,1,0
"157",0.728,0,0,0,0,1,0
"158",0.048,0,0,1,0,0,1
"159",0.016,0,0,0,0,1,1
"160",0.56,0,0,0,0,1,0
"161",0.252,0,1,0,0,0,0
"162",0.884,1,0,0,0,0,0
"163",0.1,0,0,0,1,0,0
"164",0.564,0,1,0,0,0,0
"165",0.232,1,0,0,0,0,0
"166",0.42,0,0,0,0,1,0
"167",0.292,0,0,0,0,1,0
"168",0.432,0,0,0,0,1,0
"169",0.084,0,0,0,0,1,0
"170",0.2,0,0,0,0,1,0
"171",0.56,0,0,0,0,1,0
"172",0.816,0,1,0,0,0,0
"173",0.676,0,0,0,0,1,0
