"","","","","","","","bonf_res"
"1",0.672,0,0,0,1,0,0
"2",0.844,0,0,0,0,1,0
"3",0.00800000000000001,0,0,0,0,1,1
"4",0.192,0,0,1,0,0,0
"5",0.208,0,1,0,0,0,0
"6",0.72,0,0,0,0,1,0
"7",0.1,0,0,0,0,1,0
"8",0.076,0,1,0,0,0,0
"9",0.32,0,1,0,0,0,0
"10",0.48,0,1,0,0,0,0
"11",0.944,0,1,0,0,0,0
"12",0.56,0,0,0,0,1,0
"13",0.516,0,1,0,0,0,0
"14",0.812,0,0,0,0,1,0
"15",0.576,0,0,0,1,0,0
"16",0.192,0,0,0,1,0,0
"17",0.296,0,0,0,0,1,0
"18",0.82,0,1,0,0,0,0
"19",0.436,0,0,0,1,0,0
"20",0.944,0,1,0,0,0,0
"21",0.912,0,0,0,1,0,0
"22",0.0679999999999999,0,0,0,1,0,1
"23",0.792,0,0,0,0,1,0
"24",0.592,0,1,0,0,0,0
"25",0.732,0,0,0,0,1,0
"26",0.108,0,0,1,0,0,0
"27",0.24,0,0,0,0,1,0
"28",0.648,0,0,0,1,0,0
"29",0.172,0,0,0,0,1,0
"30",0.372,0,0,0,0,1,0
"31",0.784,0,0,0,1,0,0
"32",0.18,0,0,0,1,0,0
"33",0.66,0,0,0,0,1,0
"34",0.332,0,0,1,0,0,0
"35",0.592,0,0,1,0,0,0
"36",0.792,0,0,0,0,1,0
"37",0.66,0,0,0,0,1,0
"38",0.144,0,0,0,0,1,0
"39",0,0,0,0,0,1,1
"40",0.376,0,0,0,0,1,0
"41",0.28,0,0,0,1,0,0
"42",0.212,0,0,0,0,1,0
"43",0.88,0,1,0,0,0,0
"44",0.04,0,1,0,0,0,0
"45",0.096,0,0,0,0,1,0
"46",0.86,0,1,0,0,0,0
"47",0.728,0,0,0,1,0,0
"48",0.5,0,1,0,0,0,0
"49",0.564,0,0,1,0,0,0
"50",0.292,0,1,0,0,0,0
"51",0.464,0,0,1,0,0,0
"52",0.28,0,0,0,0,1,0
"53",0.788,0,0,0,0,1,0
"54",0.24,0,0,1,0,0,0
"55",0.608,0,0,0,0,1,0
"56",0.916,0,0,0,0,1,0
"57",0.528,0,0,0,1,0,0
