"","","","bonf_res"
"1",0.234,1,0
"2",0.796,1,0
"3",0.046,1,1
"4",0.414,1,0
"5",0.36,1,0
"6",0.08,1,0
"7",0.698,1,0
"8",0.514,1,0
"9",0.802,1,0
"10",0.11,1,0
"11",0.43,1,0
"12",0.476,1,0
"13",0.248,1,0
"14",0.162,1,0
"15",0.88,1,0
"16",0.668,1,0
"17",0.366,1,0
"18",0.262,1,0
"19",0.618,1,0
"20",0.174,1,0
"21",0.542,1,0
"22",0.286,1,0
"23",0.032,1,1
"24",0.268,1,0
"25",0.75,1,0
"26",0.098,1,1
"27",0.602,1,0
"28",0.228,1,0
"29",0.014,1,0
"30",0.112,1,0
"31",0.696,1,0
"32",0.284,1,0
"33",0.412,1,0
"34",0.05,1,0
"35",0.63,1,0
"36",0.15,1,0
"37",0.194,1,0
"38",0.116,1,0
"39",0.702,1,0
"40",0.684,1,0
"41",0.684,1,0
"42",0.0620000000000001,1,0
"43",0.796,1,0
"44",0.486,1,0
"45",0.596,1,0
"46",0.034,1,1
"47",0.528,1,0
"48",0.878,1,0
"49",0.696,1,0
"50",0.274,1,0
"51",0.73,1,0
"52",0.144,1,0
"53",0.724,1,0
"54",0.968,1,0
"55",0.226,1,0
"56",0.244,1,0
"57",0.392,1,0
"58",0.168,1,0
"59",0.412,1,0
"60",0.0580000000000001,1,1
"61",0.362,1,0
"62",0.0679999999999999,1,1
"63",0.338,1,0
"64",0.942,1,0
"65",0.00600000000000001,1,1
"66",0.00600000000000001,1,1
"67",0.714,1,0
"68",0.626,1,0
"69",0.17,1,0
"70",0.524,1,0
"71",0.088,1,0
"72",0.308,1,0
"73",0.034,1,0
"74",0.046,1,0
"75",0.278,1,0
"76",0.472,1,0
"77",0.448,1,0
"78",0.206,1,0
"79",0.168,1,0
"80",0.614,1,0
"81",0.476,1,0
"82",0.9,1,0
"83",0.988,1,0
"84",0.106,1,1
"85",0.812,1,0
"86",0.16,1,0
"87",0.342,1,0
"88",0.476,1,0
"89",0.194,1,0
"90",0.352,1,0
"91",0.104,1,0
"92",0.546,1,0
"93",0.544,1,0
"94",0.092,1,0
"95",0.136,1,0
"96",0.52,1,0
"97",0.544,1,0
"98",0.104,1,0
"99",0.248,1,0
"100",0.242,1,0
"101",0.076,1,0
"102",0.00800000000000001,1,1
"103",0.284,1,0
"104",0.662,1,0
"105",0.426,1,0
"106",0.18,1,0
"107",0.52,1,0
"108",0.326,1,0
"109",0.00800000000000001,1,1
"110",0.462,1,0
"111",0.0639999999999999,1,0
"112",0.01,1,1
"113",0.562,1,0
"114",0.21,1,0
"115",0.442,1,0
"116",0.082,1,1
"117",0.184,1,0
"118",0.4,1,0
"119",0.396,1,0
"120",0.318,1,0
"121",0.716,1,0
"122",0.028,1,0
"123",0.314,1,0
"124",0.61,1,0
"125",0.52,1,0
"126",0.742,1,0
"127",0.742,1,0
"128",0.094,1,0
"129",0.35,1,0
"130",0.67,1,0
"131",0.498,1,0
"132",0.516,1,0
"133",0.658,1,0
"134",0.378,1,0
"135",0.07,1,0
"136",0.248,1,0
"137",0.01,1,1
"138",0.032,1,0
"139",0.834,1,0
"140",0.256,1,0
"141",0.942,1,0
"142",0.088,1,0
"143",0.474,1,0
"144",0.13,1,0
"145",0.606,1,0
"146",0.49,1,0
"147",0.62,1,0
"148",0.404,1,0
"149",0.996,1,0
"150",0.466,1,0
"151",0.274,1,0
"152",0.976,1,0
"153",0.486,1,0
"154",0.138,1,0
"155",0.55,1,0
"156",0.164,1,0
"157",0.7,1,0
"158",0.022,1,1
"159",0.278,1,0
"160",0.29,1,0
"161",0.132,1,0
"162",0.444,1,0
"163",0.334,1,0
"164",0.508,1,0
"165",0.786,1,0
"166",0.264,1,0
"167",0.274,1,0
"168",0.438,1,0
"169",0.02,1,1
"170",0,1,1
"171",0.016,1,1
"172",0.0679999999999999,1,0
"173",0.528,1,0
"174",0.9,1,0
"175",0.332,1,0
"176",0.554,1,0
"177",0.166,1,0
"178",0.378,1,0
"179",0.022,1,1
"180",0.036,1,0
"181",0.138,1,0
"182",0.652,1,0
"183",0.452,1,0
"184",0.0600000000000001,1,1
"185",0.556,1,0
"186",0.174,1,0
"187",0.434,1,0
"188",0.426,1,0
"189",0.272,1,0
"190",0.494,1,0
"191",0.326,1,0
"192",0.9,1,0
"193",0.044,1,0
"194",0.392,1,0
"195",0.976,1,0
"196",0.508,1,0
"197",0.802,1,0
"198",0.738,1,0
"199",0.0679999999999999,1,1
"200",0.034,1,0
"201",0.054,1,1
"202",0.79,1,0
"203",0.874,1,0
"204",0.59,1,0
"205",0.07,1,0
"206",0.746,1,0
"207",0.488,1,0
"208",0.316,1,0
"209",0.654,1,0
"210",0.254,1,0
"211",0.45,1,0
"212",0.406,1,0
"213",0.326,1,0
"214",0.57,1,0
"215",0.0639999999999999,1,0
"216",0.638,1,0
"217",0.846,1,0
"218",0.472,1,0
"219",0.634,1,0
"220",0.362,1,0
"221",0.644,1,0
"222",0.95,1,0
"223",0.024,1,1
"224",0.542,1,0
"225",0.422,1,0
"226",0.468,1,0
"227",0.05,1,1
"228",0.488,1,0
"229",0.722,1,0
"230",0.592,1,0
"231",0.348,1,0
"232",0.544,1,0
"233",0.052,1,0
"234",0.264,1,0
"235",0.296,1,0
"236",0.096,1,0
"237",0.396,1,0
"238",0.08,1,0
"239",0.488,1,0
"240",0.03,1,1
"241",0.022,1,1
"242",0.162,1,0
"243",0.808,1,0
"244",0.03,1,0
"245",0.534,1,0
"246",0.668,1,0
"247",0.526,1,0
"248",0.13,1,0
"249",0.518,1,0
"250",0.00600000000000001,1,0
"251",0.498,1,0
"252",0.252,1,0
"253",0.584,1,0
"254",0.17,1,1
"255",0.09,1,0
"256",0.516,1,0
"257",0.204,1,0
"258",0.018,1,1
"259",0.078,1,0
"260",0.712,1,0
"261",0.348,1,0
"262",0.572,1,0
"263",0.452,1,0
"264",0.454,1,0
"265",0.256,1,0
"266",0.392,1,0
"267",0.4,1,0
"268",0.034,1,1
"269",0.816,1,0
"270",0.352,1,0
"271",0.444,1,0
"272",0.204,1,0
"273",0.55,1,0
"274",0.588,1,0
"275",0.496,1,0
"276",0.332,1,0
"277",0.784,1,0
"278",0.05,1,0
"279",0.076,1,1
