"","","","bonf_res"
"1",0.478,1,0
"2",0.048,1,0
"3",0.992,1,0
"4",0.232,1,0
"5",0.132,1,0
"6",0.208,1,0
"7",0.332,1,0
"8",0.99,1,0
"9",0.13,1,0
"10",0.838,1,0
"11",0.0620000000000001,1,0
"12",0.796,1,0
"13",0.08,1,0
"14",0.094,1,0
"15",0.982,1,0
"16",0.654,1,0
"17",0.802,1,0
"18",0.64,1,0
"19",0.29,1,0
"20",0.856,1,0
"21",0.19,1,0
"22",0.894,1,0
"23",0.44,1,0
"24",0.386,1,0
"25",0.65,1,0
"26",0.846,1,0
"27",0.002,1,1
"28",0,1,1
"29",0.874,1,0
"30",0.698,1,0
"31",0.044,1,0
"32",0.758,1,0
"33",0.4,1,0
"34",0.718,1,0
"35",0.284,1,0
"36",0.052,1,0
"37",0.584,1,0
"38",0.704,1,0
"39",0.002,1,1
"40",0.1,1,0
"41",0.196,1,0
"42",0.0659999999999999,1,0
"43",0.636,1,0
"44",0.354,1,0
"45",0.856,1,0
"46",0.288,1,0
"47",0.604,1,0
"48",0.098,1,1
"49",0.648,1,0
"50",0.378,1,0
"51",0.64,1,0
"52",0.636,1,0
"53",0.442,1,0
"54",0.986,1,0
"55",0.298,1,0
"56",0.976,1,0
"57",0.85,1,0
"58",0.59,1,0
"59",0.878,1,0
"60",0.674,1,0
"61",0.236,1,0
"62",0.678,1,0
"63",0.348,1,0
"64",0.308,1,0
"65",0.46,1,0
"66",0.152,1,0
"67",0.63,1,0
"68",0.452,1,0
"69",0.316,1,0
"70",0.336,1,0
"71",0.552,1,0
"72",0.648,1,0
"73",0.106,1,0
"74",0.988,1,0
"75",0.452,1,0
"76",0.798,1,0
"77",0.974,1,0
"78",0.276,1,0
"79",0.614,1,0
"80",0.446,1,0
"81",0.308,1,0
"82",0.46,1,0
"83",0.178,1,0
"84",0.674,1,0
"85",0.888,1,0
"86",0.338,1,0
"87",0.854,1,0
"88",0.98,1,0
"89",0.784,1,0
"90",0.884,1,0
"91",0.202,1,0
"92",0.25,1,0
"93",0.048,1,0
"94",0.792,1,0
"95",0.916,1,0
"96",0.1,1,1
"97",0.26,1,0
"98",0.048,1,0
"99",0.632,1,0
"100",0.372,1,0
"101",0.0679999999999999,1,0
"102",0.208,1,0
"103",0.728,1,0
"104",0.196,1,0
"105",0.454,1,0
"106",0.28,1,0
"107",0.13,1,0
"108",0.552,1,0
"109",0.53,1,0
"110",0.646,1,0
"111",0.19,1,0
"112",0.656,1,0
"113",0.012,1,1
"114",0.6,1,0
"115",0.754,1,0
"116",0.326,1,0
"117",0.696,1,0
"118",0.312,1,0
"119",0.952,1,0
"120",0.202,1,0
"121",0.286,1,0
"122",0.852,1,0
"123",0.946,1,0
"124",0.346,1,0
"125",0.286,1,0
"126",0.034,1,0
"127",0.448,1,0
"128",0.232,1,0
"129",0.04,1,1
"130",0.428,1,0
"131",0.622,1,0
"132",0.454,1,0
"133",0.646,1,0
"134",0.56,1,0
"135",0.11,1,0
"136",0.592,1,0
"137",0.884,1,0
"138",0.55,1,0
"139",0.89,1,0
"140",0.85,1,0
"141",0.586,1,0
"142",0.896,1,0
"143",0.994,1,0
"144",0.438,1,0
"145",0.456,1,0
"146",0.158,1,0
"147",0.1,1,0
"148",0.00800000000000001,1,1
"149",0.366,1,0
"150",0.42,1,0
"151",0.116,1,0
"152",0.226,1,0
"153",0.684,1,0
"154",0.132,1,0
"155",0.428,1,0
"156",0.878,1,0
"157",0.616,1,0
"158",0.592,1,0
"159",0.568,1,0
"160",0.542,1,0
"161",0.446,1,0
"162",0.704,1,0
"163",0.298,1,0
"164",0.208,1,0
"165",0.636,1,0
"166",0.288,1,0
"167",0.94,1,0
"168",0.51,1,0
"169",0.558,1,0
"170",0.628,1,0
"171",0.296,1,0
"172",0.176,1,0
"173",0.7,1,0
"174",0.202,1,0
"175",0.436,1,0
"176",0.352,1,0
"177",0.736,1,0
"178",0.08,1,0
"179",0.27,1,0
"180",0.088,1,0
"181",0.442,1,0
"182",0.36,1,0
"183",0.562,1,0
"184",0.878,1,0
"185",0.33,1,0
"186",0.116,1,0
"187",0.134,1,0
"188",0.866,1,0
"189",0.482,1,0
"190",0.724,1,0
"191",0.634,1,0
"192",0.526,1,0
"193",0.27,1,0
"194",0.292,1,0
"195",0.146,1,0
"196",0.168,1,0
"197",0.26,1,0
"198",0.228,1,0
"199",0.662,1,0
"200",0.516,1,0
"201",0.686,1,0
"202",0.798,1,0
"203",0.088,1,0
"204",0.046,1,0
"205",0.002,1,1
"206",0.392,1,0
"207",0.678,1,0
"208",0.804,1,0
"209",0.806,1,0
"210",0.874,1,0
"211",0.708,1,0
"212",0.962,1,0
"213",0.602,1,0
"214",0.38,1,0
"215",0.382,1,0
"216",0.00800000000000001,1,0
"217",0.252,1,0
"218",0.746,1,0
"219",0.38,1,0
"220",0.984,1,0
"221",0.176,1,0
"222",0.282,1,0
"223",0.704,1,0
"224",0.318,1,0
"225",0.69,1,0
"226",0.582,1,0
"227",0.146,1,0
"228",0.966,1,0
"229",0.142,1,0
"230",0.52,1,0
"231",0.548,1,0
"232",0.602,1,0
"233",0.468,1,0
"234",0.0679999999999999,1,1
"235",0.452,1,0
"236",0.46,1,0
"237",0.382,1,0
"238",0.728,1,0
"239",0.07,1,0
"240",0.0679999999999999,1,1
"241",0.944,1,0
"242",0.464,1,0
"243",0.406,1,0
"244",0.172,1,0
"245",0.138,1,0
"246",0.192,1,0
"247",0.886,1,0
"248",0.302,1,0
"249",0.506,1,0
"250",0.952,1,0
"251",0.72,1,0
"252",0.64,1,0
"253",0.192,1,0
"254",0.664,1,0
"255",0.23,1,0
"256",0.742,1,0
"257",0.186,1,0
"258",0.45,1,0
"259",0.734,1,0
"260",0.146,1,0
"261",0.104,1,0
"262",0.024,1,1
"263",0.846,1,0
"264",0.902,1,0
"265",0.648,1,0
"266",0.608,1,0
"267",0.93,1,0
"268",0.292,1,0
"269",0.984,1,0
"270",0.88,1,0
"271",0.596,1,0
"272",0.31,1,0
"273",0.344,1,0
"274",0.388,1,0
"275",0.974,1,0
"276",0.918,1,0
"277",0.262,1,0
"278",0.096,1,0
"279",0.278,1,0
"280",0.822,1,0
"281",0.438,1,0
"282",0.146,1,0
"283",0.318,1,0
"284",0.286,1,0
"285",0.018,1,1
"286",0.504,1,0
"287",0.094,1,0
"288",0.784,1,0
"289",0.616,1,0
"290",0.342,1,0
"291",0.292,1,0
"292",0.302,1,0
"293",0.24,1,0
"294",0.186,1,0
"295",0.816,1,0
"296",0.016,1,0
"297",0.604,1,0
"298",0.236,1,0
"299",0.956,1,0
"300",0.892,1,0
"301",0.55,1,0
"302",0.506,1,0
"303",0.292,1,0
"304",0.66,1,0
"305",0.734,1,0
"306",0.46,1,0
"307",0.392,1,0
"308",0.678,1,0
"309",0.086,1,1
"310",0.978,1,0
"311",0.66,1,0
"312",0.244,1,0
"313",0.214,1,0
"314",0.852,1,0
"315",0.482,1,0
"316",0.854,1,0
"317",0.64,1,0
"318",0.67,1,0
"319",0.908,1,0
"320",0.272,1,0
"321",0.244,1,0
"322",0.65,1,0
"323",0.218,1,0
"324",0.562,1,0
"325",0.438,1,0
"326",0.73,1,0
"327",0.296,1,0
"328",0.956,1,0
"329",0.494,1,0
"330",0.866,1,0
"331",0.364,1,0
"332",0.89,1,0
"333",0.632,1,0
"334",0.322,1,0
"335",0.718,1,0
"336",0,1,1
"337",0.61,1,0
"338",0.592,1,0
"339",0.36,1,0
"340",0.246,1,0
"341",0.526,1,0
"342",0.636,1,0
"343",0.846,1,0
"344",0.938,1,0
"345",0.088,1,0
"346",0.204,1,0
"347",0.506,1,0
"348",0.316,1,0
"349",0.348,1,0
"350",0.524,1,0
"351",0.502,1,0
"352",0.158,1,0
"353",0.794,1,0
"354",0.148,1,0
"355",0.54,1,0
"356",0.014,1,0
"357",0.72,1,0
"358",0.198,1,0
"359",0.386,1,0
"360",0.39,1,0
"361",0.544,1,0
"362",0.978,1,0
"363",0.948,1,0
"364",0.93,1,0
"365",0.514,1,0
"366",0.018,1,0
"367",0.684,1,0
"368",0.09,1,0
"369",0.656,1,0
"370",0.76,1,0
"371",0.594,1,0
"372",0.364,1,0
"373",0.578,1,0
"374",0.274,1,0
"375",0.018,1,1
"376",0.292,1,0
"377",0.286,1,0
"378",0.042,1,0
"379",0.562,1,0
"380",0.416,1,0
"381",0.256,1,0
"382",0.534,1,0
"383",0.184,1,0
"384",0.642,1,0
"385",0.912,1,0
"386",0.522,1,0
"387",0.402,1,0
"388",0.726,1,0
"389",0.374,1,0
"390",0.202,1,0
"391",0.516,1,0
"392",0.598,1,0
"393",0.906,1,0
"394",0.274,1,0
"395",0.686,1,0
"396",0.038,1,0
"397",0.452,1,0
"398",0.604,1,0
"399",0.182,1,0
"400",0.562,1,0
