"","","","bonf_res"
"1",0.913333333333333,1,0
"2",0.148,1,0
"3",0.245333333333333,1,0
"4",0.976,1,0
"5",0.505333333333333,1,0
"6",0.921333333333333,1,0
"7",0.490666666666667,1,0
"8",0.205333333333333,1,0
"9",0.481333333333333,1,0
"10",0.914666666666667,1,0
"11",0.197333333333333,1,0
"12",0.910666666666667,1,0
"13",0.544,1,0
"14",0.114666666666667,1,0
"15",0.0306666666666666,1,1
"16",0.096,1,0
"17",0.188,1,1
"18",0.190666666666667,1,0
"19",0.378666666666667,1,0
"20",0.604,1,0
"21",0.572,1,0
"22",0.974666666666667,1,0
"23",0.126666666666667,1,0
"24",0.644,1,0
"25",0.376,1,0
"26",0.257333333333333,1,0
"27",0.0653333333333334,1,0
"28",0.26,1,0
"29",0.222666666666667,1,0
"30",0.189333333333333,1,0
"31",0.084,1,0
"32",0.224,1,0
"33",0.932,1,0
"34",0.226666666666667,1,0
"35",0.628,1,0
"36",0.810666666666667,1,0
"37",0.302666666666667,1,0
"38",0.816,1,0
"39",0.453333333333333,1,0
"40",0.186666666666667,1,0
"41",0.501333333333333,1,0
"42",0.594666666666667,1,0
"43",0.192,1,0
"44",0.136,1,0
"45",0.136,1,0
"46",0.7,1,0
"47",0.530666666666667,1,0
"48",0.309333333333333,1,0
"49",0.732,1,0
"50",0.158666666666667,1,0
"51",0.544,1,0
"52",0.416,1,0
"53",0.0706666666666667,1,0
"54",0.88,1,0
"55",0.792,1,0
"56",0.822666666666667,1,0
"57",0.3,1,0
"58",0.242666666666667,1,0
"59",0.126666666666667,1,0
"60",0.554666666666667,1,0
"61",0.932,1,0
"62",0.594666666666667,1,0
"63",0.678666666666667,1,0
"64",0.618666666666667,1,0
"65",0.0293333333333333,1,0
"66",0.169333333333333,1,0
"67",0.0573333333333333,1,0
"68",0.00800000000000001,1,0
"69",0.292,1,0
"70",0.701333333333333,1,0
"71",0.409333333333333,1,0
"72",0.233333333333333,1,0
"73",0.425333333333333,1,0
"74",0.949333333333333,1,0
"75",0.725333333333333,1,0
"76",0.192,1,0
"77",0.264,1,0
"78",0.998666666666667,1,0
"79",0.0493333333333333,1,0
"80",0.497333333333333,1,0
"81",0.566666666666667,1,0
"82",0.302666666666667,1,0
"83",0.276,1,0
"84",0.633333333333333,1,0
"85",0.501333333333333,1,0
"86",0.789333333333333,1,0
"87",0.484,1,0
"88",0.650666666666667,1,0
"89",0.096,1,1
"90",0.145333333333333,1,0
"91",0.329333333333333,1,0
"92",0.762666666666667,1,0
"93",0.196,1,0
"94",0.0693333333333334,1,0
"95",0.918666666666667,1,0
"96",0.857333333333333,1,0
"97",0.24,1,0
"98",0.54,1,0
"99",0.818666666666667,1,0
"100",0.685333333333333,1,0
"101",0.721333333333333,1,0
"102",0.312,1,0
"103",0.864,1,0
"104",0.693333333333333,1,0
"105",0.426666666666667,1,0
"106",0.00666666666666671,1,1
"107",0.852,1,0
"108",0.378666666666667,1,0
"109",0.765333333333333,1,0
"110",0.517333333333333,1,0
"111",0.298666666666667,1,0
"112",0.924,1,0
"113",0.0186666666666667,1,1
"114",0.308,1,0
"115",0.949333333333333,1,0
"116",0.906666666666667,1,0
"117",0.58,1,0
"118",0.482666666666667,1,0
"119",0.973333333333333,1,0
"120",0.354666666666667,1,0
"121",0.812,1,0
"122",0.398666666666667,1,0
"123",0.464,1,0
"124",0.681333333333333,1,0
"125",0.916,1,0
"126",0.0493333333333333,1,0
"127",0.350666666666667,1,0
"128",0.564,1,0
"129",0.518666666666667,1,0
"130",0.225333333333333,1,0
"131",0.828,1,0
"132",0.0386666666666666,1,0
"133",0.697333333333333,1,0
"134",0.209333333333333,1,0
"135",0.408,1,0
"136",0.425333333333333,1,0
"137",0.217333333333333,1,0
"138",0.726666666666667,1,0
"139",0.3,1,0
"140",0.484,1,0
"141",0.121333333333333,1,0
"142",0.605333333333333,1,0
"143",0.0653333333333334,1,1
"144",0.617333333333333,1,0
"145",0.0626666666666666,1,0
"146",0.00666666666666671,1,0
"147",0.00666666666666671,1,0
"148",0.138666666666667,1,0
"149",0.330666666666667,1,0
"150",0.510666666666667,1,0
"151",0.78,1,0
"152",0.116,1,1
"153",0.3,1,0
"154",0.781333333333333,1,0
"155",0.897333333333333,1,0
"156",0.633333333333333,1,0
"157",0.189333333333333,1,0
"158",0.574666666666667,1,0
"159",0.370666666666667,1,0
"160",0.157333333333333,1,0
"161",0.516,1,0
"162",0.542666666666667,1,0
"163",0.129333333333333,1,0
"164",0.136,1,0
"165",0.578666666666667,1,0
"166",0.486666666666667,1,0
"167",0.941333333333333,1,0
"168",0.876,1,0
"169",0.988,1,0
"170",0.849333333333333,1,0
"171",0.684,1,0
"172",0.873333333333333,1,0
"173",0.0973333333333334,1,0
"174",0.376,1,0
"175",0.712,1,0
"176",0.937333333333333,1,0
"177",0.824,1,0
"178",0.342666666666667,1,0
"179",0.144,1,0
"180",0.858666666666667,1,0
"181",0.644,1,0
"182",0.94,1,0
"183",0.309333333333333,1,0
"184",0.681333333333333,1,0
"185",0.405333333333333,1,0
"186",0.846666666666667,1,0
"187",0.504,1,0
"188",0.913333333333333,1,0
"189",0.229333333333333,1,0
"190",0.604,1,0
"191",0.526666666666667,1,0
"192",0.16,1,0
"193",0.412,1,0
"194",0.262666666666667,1,0
"195",0.394666666666667,1,0
"196",0.0133333333333333,1,1
"197",0.730666666666667,1,0
"198",0.376,1,0
"199",0.141333333333333,1,0
"200",0.698666666666667,1,0
"201",0.678666666666667,1,0
"202",0.596,1,0
"203",0.357333333333333,1,0
"204",0.866666666666667,1,0
"205",0.08,1,0
"206",0.82,1,0
"207",0.364,1,0
"208",0.890666666666667,1,0
"209",0.598666666666667,1,0
"210",0.562666666666667,1,0
"211",0.266666666666667,1,0
"212",0.024,1,1
"213",0.218666666666667,1,0
"214",0.778666666666667,1,0
"215",0.774666666666667,1,0
"216",0.826666666666667,1,0
"217",0.032,1,1
"218",0.269333333333333,1,0
"219",0.446666666666667,1,0
"220",0.764,1,0
"221",0.313333333333333,1,0
"222",0.0093333333333333,1,1
"223",0.738666666666667,1,0
"224",0.544,1,0
"225",0.268,1,0
"226",0.0373333333333333,1,1
"227",0.294666666666667,1,0
"228",0.628,1,0
"229",0.313333333333333,1,0
"230",0.0213333333333333,1,1
"231",0.0386666666666666,1,0
"232",0.92,1,0
"233",0.198666666666667,1,0
"234",0.0786666666666667,1,0
"235",0.236,1,0
"236",0.868,1,0
"237",0.185333333333333,1,0
"238",0.0226666666666666,1,0
"239",0.737333333333333,1,0
"240",0.412,1,0
"241",0.746666666666667,1,0
"242",0.896,1,0
"243",0.448,1,0
"244",0.509333333333333,1,0
"245",0.052,1,0
"246",0.837333333333333,1,0
"247",0.22,1,0
"248",0.717333333333333,1,0
"249",0.166666666666667,1,0
"250",0.313333333333333,1,0
"251",0.716,1,0
"252",0.0106666666666667,1,1
"253",0.718666666666667,1,0
"254",0.704,1,0
"255",0.453333333333333,1,0
"256",0.176,1,0
"257",0.610666666666667,1,0
"258",0.389333333333333,1,0
"259",0.961333333333333,1,0
"260",0.833333333333333,1,0
