"","","","","","","","","bonf_res"
"1",0.728,0,1,0,0,0,0,0
"2",0.16,1,0,0,0,0,0,0
"3",0.444,0,1,0,0,0,0,0
"4",0.78,0,1,0,0,0,0,0
"5",0.032,1,0,0,0,0,0,1
"6",0.3,0,1,0,0,0,0,0
"7",0.032,0,0,1,0,0,0,0
"8",0.62,1,0,0,0,0,0,0
"9",0.404,0,1,0,0,0,0,0
"10",0.868,0,1,0,0,0,0,0
"11",0.84,0,1,0,0,0,0,0
"12",0.236,1,0,0,0,0,0,0
"13",0.632,0,1,0,0,0,0,0
"14",0.588,1,0,0,0,0,0,0
"15",0.756,0,1,0,0,0,0,0
"16",0.848,0,1,0,0,0,0,0
"17",0.204,1,0,0,0,0,0,0
"18",0.172,0,1,0,0,0,0,0
"19",0.02,0,1,0,0,0,0,0
"20",0.228,1,0,0,0,0,0,0
"21",0.576,0,1,0,0,0,0,0
"22",0.26,0,1,0,0,0,0,0
"23",0.64,1,0,0,0,0,0,0
"24",0.852,0,1,0,0,0,0,0
"25",0.828,1,0,0,0,0,0,0
"26",0.752,1,0,0,0,0,0,0
"27",0.8,1,0,0,0,0,0,0
"28",0.452,0,1,0,0,0,0,0
"29",0.224,0,1,0,0,0,0,0
"30",0.68,0,1,0,0,0,0,0
"31",0.436,0,1,0,0,0,0,0
"32",0.904,1,0,0,0,0,0,0
"33",0.412,0,1,0,0,0,0,0
"34",0.772,0,1,0,0,0,0,0
"35",0.432,0,1,0,0,0,0,0
"36",0.548,0,1,0,0,0,0,0
"37",0.992,0,1,0,0,0,0,0
"38",0.02,1,0,0,0,0,0,0
"39",0.804,1,0,0,0,0,0,0
"40",0.396,0,1,0,0,0,0,0
"41",0.596,0,1,0,0,0,0,0
"42",0.668,0,1,0,0,0,0,0
"43",0.924,0,1,0,0,0,0,0
"44",0.08,1,0,0,0,0,0,0
"45",0.996,1,0,0,0,0,0,0
"46",0.272,1,0,0,0,0,0,0
"47",0.352,1,0,0,0,0,0,0
"48",0.184,1,0,0,0,0,0,0
"49",0.368,1,0,0,0,0,0,0
"50",0.236,1,0,0,0,0,0,0
"51",0.18,0,1,0,0,0,0,0
"52",0.66,1,0,0,0,0,0,0
"53",0.352,0,1,0,0,0,0,0
"54",0.3,1,0,0,0,0,0,0
"55",0.004,0,1,0,0,0,0,0
"56",0.176,1,0,0,0,0,0,0
"57",0.4,1,0,0,0,0,0,0
"58",0.752,0,1,0,0,0,0,0
"59",0.864,1,0,0,0,0,0,0
"60",0.564,0,1,0,0,0,0,0
"61",0.148,1,0,0,0,0,0,0
"62",0.26,1,0,0,0,0,0,0
"63",0.648,1,0,0,0,0,0,0
"64",0.36,0,1,0,0,0,0,0
"65",0.992,0,1,0,0,0,0,0
"66",0.9,0,1,0,0,0,0,0
"67",0.88,0,1,0,0,0,0,0
"68",0.528,0,1,0,0,0,0,0
"69",0.84,0,1,0,0,0,0,0
"70",0.684,1,0,0,0,0,0,0
"71",0.0679999999999999,1,0,0,0,0,0,0
"72",0.68,1,0,0,0,0,0,0
"73",0.504,0,1,0,0,0,0,0
"74",0.1,0,1,0,0,0,0,0
"75",0.836,1,0,0,0,0,0,0
"76",0.34,0,1,0,0,0,0,0
"77",0.176,0,1,0,0,0,0,0
"78",0.828,0,1,0,0,0,0,0
"79",0.048,0,1,0,0,0,0,0
"80",0.144,1,0,0,0,0,0,0
"81",0.976,1,0,0,0,0,0,0
"82",0.736,0,1,0,0,0,0,0
"83",0.084,1,0,0,0,0,0,0
"84",0.512,0,1,0,0,0,0,0
"85",0.32,1,0,0,0,0,0,0
"86",0.344,1,0,0,0,0,0,0
"87",0.956,0,1,0,0,0,0,0
"88",0.804,0,1,0,0,0,0,0
"89",0.7,0,1,0,0,0,0,0
"90",0.552,0,1,0,0,0,0,0
"91",0.44,1,0,0,0,0,0,0
"92",0.996,0,1,0,0,0,0,0
"93",0.632,1,0,0,0,0,0,0
"94",0.936,1,0,0,0,0,0,0
"95",0.332,0,1,0,0,0,0,0
"96",0.316,0,1,0,0,0,0,0
"97",0.216,1,0,0,0,0,0,0
"98",0.336,1,0,0,0,0,0,0
"99",0.256,1,0,0,0,0,0,0
"100",0.296,0,1,0,0,0,0,0
"101",0.788,1,0,0,0,0,0,0
"102",0.708,0,1,0,0,0,0,0
"103",0.412,0,1,0,0,0,0,0
"104",0.772,1,0,0,0,0,0,0
"105",0.208,1,0,0,0,0,0,0
"106",0.076,0,1,0,0,0,0,1
"107",0.148,0,1,0,0,0,0,0
"108",0.948,0,1,0,0,0,0,0
"109",0.24,0,1,0,0,0,0,0
"110",0.072,1,0,0,0,0,0,0
"111",0.112,1,0,0,0,0,0,0
"112",0.204,1,0,0,0,0,0,0
"113",0.324,0,1,0,0,0,0,0
"114",0.272,0,1,0,0,0,0,0
"115",0.136,1,0,0,0,0,0,0
"116",0.44,1,0,0,0,0,0,0
"117",0.72,1,0,0,0,0,0,0
"118",0.616,0,1,0,0,0,0,0
"119",0.668,0,1,0,0,0,0,0
"120",0.252,0,1,0,0,0,0,0
"121",0.08,1,0,0,0,0,0,0
"122",0.016,0,1,0,0,0,0,0
"123",0.476,0,1,0,0,0,0,0
"124",0.92,0,1,0,0,0,0,0
"125",0.376,1,0,0,0,0,0,0
"126",0.848,1,0,0,0,0,0,0
"127",0.728,0,1,0,0,0,0,0
"128",0.932,0,1,0,0,0,0,0
"129",0.372,0,1,0,0,0,0,0
"130",0.18,1,0,0,0,0,0,0
"131",0.644,1,0,0,0,0,0,0
"132",0.628,1,0,0,0,0,0,0
"133",0.996,0,1,0,0,0,0,0
"134",0.204,1,0,0,0,0,0,0
"135",0.296,1,0,0,0,0,0,0
"136",0.868,0,1,0,0,0,0,0
"137",0.512,1,0,0,0,0,0,0
"138",0.112,0,1,0,0,0,0,0
"139",0.244,0,1,0,0,0,0,0
"140",0.456,0,1,0,0,0,0,0
"141",0.888,0,1,0,0,0,0,0
"142",0.316,1,0,0,0,0,0,0
"143",0.176,0,1,0,0,0,0,0
"144",0.948,0,1,0,0,0,0,0
"145",0.668,0,1,0,0,0,0,0
"146",0.14,0,1,0,0,0,0,0
"147",0.332,1,0,0,0,0,0,0
"148",0.992,0,0,0,0,1,0,0
"149",0.004,1,0,0,0,0,0,1
"150",0.676,1,0,0,0,0,0,0
"151",0.82,0,1,0,0,0,0,0
"152",0.512,0,1,0,0,0,0,0
"153",0.856,1,0,0,0,0,0,0
"154",0.568,0,1,0,0,0,0,0
"155",0.656,1,0,0,0,0,0,0
"156",0.664,1,0,0,0,0,0,0
"157",0.176,0,1,0,0,0,0,0
"158",0.9,0,1,0,0,0,0,0
"159",0.304,1,0,0,0,0,0,0
"160",0.712,1,0,0,0,0,0,0
"161",0.348,0,1,0,0,0,0,0
"162",0.0679999999999999,1,0,0,0,0,0,0
"163",0.572,1,0,0,0,0,0,0
"164",0.276,0,1,0,0,0,0,0
"165",0.896,1,0,0,0,0,0,0
"166",0.736,0,1,0,0,0,0,0
"167",0.944,1,0,0,0,0,0,0
"168",0.788,1,0,0,0,0,0,0
"169",0.536,1,0,0,0,0,0,0
"170",0.96,1,0,0,0,0,0,0
"171",0.456,0,1,0,0,0,0,0
"172",0.652,0,1,0,0,0,0,0
"173",0.444,0,1,0,0,0,0,0
"174",0.388,0,1,0,0,0,0,0
"175",0.836,0,1,0,0,0,0,0
"176",0.408,0,1,0,0,0,0,0
"177",0.252,0,1,0,0,0,0,0
"178",0.056,1,0,0,0,0,0,0
"179",0.204,1,0,0,0,0,0,0
"180",0.316,1,0,0,0,0,0,0
"181",0.964,0,1,0,0,0,0,0
"182",0.372,0,1,0,0,0,0,0
"183",0.756,0,1,0,0,0,0,0
"184",0.484,0,1,0,0,0,0,0
"185",0.588,0,1,0,0,0,0,0
"186",0.856,1,0,0,0,0,0,0
"187",0.212,0,1,0,0,0,0,0
"188",0.984,1,0,0,0,0,0,0
"189",0.9,0,1,0,0,0,0,0
"190",0.38,0,1,0,0,0,0,0
"191",0.8,0,1,0,0,0,0,0
"192",0.344,1,0,0,0,0,0,0
"193",0.424,0,1,0,0,0,0,0
"194",0.508,0,1,0,0,0,0,0
"195",0.476,1,0,0,0,0,0,0
"196",0.056,0,1,0,0,0,0,0
"197",0.372,0,1,0,0,0,0,0
"198",0.604,0,1,0,0,0,0,0
"199",0.276,1,0,0,0,0,0,0
"200",0.98,1,0,0,0,0,0,0
"201",0.788,1,0,0,0,0,0,0
"202",0.372,1,0,0,0,0,0,0
"203",0.616,1,0,0,0,0,0,0
"204",0.7,1,0,0,0,0,0,0
"205",0.448,0,1,0,0,0,0,0
"206",0.828,1,0,0,0,0,0,0
"207",0.132,0,1,0,0,0,0,0
"208",0.308,0,1,0,0,0,0,0
"209",0.696,0,1,0,0,0,0,0
"210",0.3,0,1,0,0,0,0,0
"211",0.356,1,0,0,0,0,0,0
"212",0.276,0,1,0,0,0,0,0
"213",0.132,0,1,0,0,0,0,0
"214",0.968,1,0,0,0,0,0,0
"215",0.948,0,1,0,0,0,0,0
"216",0.8,0,1,0,0,0,0,0
"217",0.764,0,1,0,0,0,0,0
"218",0.7,1,0,0,0,0,0,0
"219",0.7,1,0,0,0,0,0,0
"220",0.428,1,0,0,0,0,0,0
"221",0.764,1,0,0,0,0,0,0
"222",0.788,1,0,0,0,0,0,0
"223",0.696,0,1,0,0,0,0,0
"224",0.612,0,1,0,0,0,0,0
"225",0.028,1,0,0,0,0,0,0
"226",0.588,1,0,0,0,0,0,0
"227",0.232,0,1,0,0,0,0,0
"228",1,0,1,0,0,0,0,0
"229",0.024,0,1,0,0,0,0,1
"230",0.752,0,1,0,0,0,0,0
"231",0.956,0,1,0,0,0,0,0
"232",0.952,0,1,0,0,0,0,0
"233",0.104,0,1,0,0,0,0,0
"234",0.28,1,0,0,0,0,0,0
"235",0.332,0,1,0,0,0,0,0
"236",0.1,1,0,0,0,0,0,1
"237",0.136,0,1,0,0,0,0,0
"238",0.184,0,1,0,0,0,0,0
"239",0.364,1,0,0,0,0,0,0
"240",0.384,0,1,0,0,0,0,0
"241",0.628,0,1,0,0,0,0,0
"242",0.684,0,1,0,0,0,0,0
"243",0.512,1,0,0,0,0,0,0
"244",0.344,0,1,0,0,0,0,0
"245",0.732,0,1,0,0,0,0,0
"246",0.584,0,1,0,0,0,0,0
"247",0.216,0,1,0,0,0,0,0
"248",0.528,1,0,0,0,0,0,0
"249",0.208,0,1,0,0,0,0,0
"250",0.412,1,0,0,0,0,0,0
"251",0.364,0,1,0,0,0,0,0
"252",0.036,1,0,0,0,0,0,1
"253",0.36,1,0,0,0,0,0,0
"254",0.768,0,1,0,0,0,0,0
"255",0.628,1,0,0,0,0,0,0
"256",0.828,1,0,0,0,0,0,0
"257",0.544,0,1,0,0,0,0,0
"258",0.16,1,0,0,0,0,0,0
"259",0.476,1,0,0,0,0,0,0
"260",0.26,1,0,0,0,0,0,0
"261",0.504,1,0,0,0,0,0,0
"262",0.956,1,0,0,0,0,0,0
"263",0.328,0,1,0,0,0,0,0
"264",0.38,1,0,0,0,0,0,0
"265",0.796,0,1,0,0,0,0,0
"266",0.928,0,1,0,0,0,0,0
"267",0.688,1,0,0,0,0,0,0
"268",0.98,1,0,0,0,0,0,0
"269",0.972,1,0,0,0,0,0,0
"270",0.36,1,0,0,0,0,0,0
"271",0.088,0,1,0,0,0,0,0
"272",0.24,0,1,0,0,0,0,0
"273",0.552,0,1,0,0,0,0,0
"274",0.104,0,1,0,0,0,0,0
"275",0.896,1,0,0,0,0,0,0
"276",0.968,0,1,0,0,0,0,0
"277",0.884,0,1,0,0,0,0,0
"278",0.212,0,1,0,0,0,0,0
"279",0.82,0,1,0,0,0,0,0
"280",0.632,1,0,0,0,0,0,0
"281",0.244,0,1,0,0,0,0,0
"282",0.744,0,1,0,0,0,0,0
"283",0.188,0,1,0,0,0,0,0
"284",0.404,1,0,0,0,0,0,0
"285",0.024,0,1,0,0,0,0,1
"286",0.644,0,0,1,0,0,0,0
"287",0.628,0,1,0,0,0,0,0
"288",0.42,1,0,0,0,0,0,0
"289",0.76,1,0,0,0,0,0,0
"290",0.768,1,0,0,0,0,0,0
"291",0.78,0,1,0,0,0,0,0
"292",0.036,1,0,0,0,0,0,0
"293",0.124,1,0,0,0,0,0,0
"294",0.968,0,1,0,0,0,0,0
"295",0.636,0,1,0,0,0,0,0
"296",0.284,0,1,0,0,0,0,0
"297",0.716,1,0,0,0,0,0,0
"298",0.812,0,1,0,0,0,0,0
"299",0.604,0,1,0,0,0,0,0
"300",0.208,0,1,0,0,0,0,0
"301",0.732,0,1,0,0,0,0,0
"302",0.936,0,1,0,0,0,0,0
"303",0.76,1,0,0,0,0,0,0
"304",0.112,1,0,0,0,0,0,0
"305",0.176,0,1,0,0,0,0,0
"306",0.876,0,1,0,0,0,0,0
"307",0.216,1,0,0,0,0,0,0
"308",0.28,0,1,0,0,0,0,0
"309",0.712,0,1,0,0,0,0,0
"310",0.152,0,1,0,0,0,0,0
"311",0.18,0,1,0,0,0,0,0
"312",0.032,0,1,0,0,0,0,0
"313",0.292,1,0,0,0,0,0,0
"314",0.276,1,0,0,0,0,0,0
"315",0.688,0,0,1,0,0,0,0
"316",0.36,1,0,0,0,0,0,0
"317",0.24,1,0,0,0,0,0,0
"318",0.624,0,1,0,0,0,0,0
"319",0.196,0,1,0,0,0,0,0
"320",0.228,0,1,0,0,0,0,0
"321",0.464,0,1,0,0,0,0,0
"322",0.0639999999999999,0,1,0,0,0,0,1
"323",0.66,0,1,0,0,0,0,0
"324",0.152,0,1,0,0,0,0,0
"325",0.484,1,0,0,0,0,0,0
"326",0.288,1,0,0,0,0,0,0
"327",0.424,0,1,0,0,0,0,0
"328",0.928,1,0,0,0,0,0,0
"329",0.228,1,0,0,0,0,0,0
"330",0.092,1,0,0,0,0,0,0
"331",0.364,1,0,0,0,0,0,0
"332",0.984,0,1,0,0,0,0,0
"333",0.496,0,1,0,0,0,0,0
"334",0.968,0,1,0,0,0,0,0
"335",0.644,0,1,0,0,0,0,0
"336",0.54,0,1,0,0,0,0,0
"337",0.468,0,1,0,0,0,0,0
"338",0.448,1,0,0,0,0,0,0
"339",0.088,1,0,0,0,0,0,0
"340",0.3,1,0,0,0,0,0,0
"341",0.0639999999999999,1,0,0,0,0,0,0
"342",0.232,1,0,0,0,0,0,0
"343",0.408,0,1,0,0,0,0,0
"344",0.164,0,1,0,0,0,0,0
"345",0.76,0,1,0,0,0,0,0
"346",0.472,1,0,0,0,0,0,0
"347",0.316,1,0,0,0,0,0,0
"348",0.968,0,1,0,0,0,0,0
"349",0.844,0,1,0,0,0,0,0
"350",0.908,1,0,0,0,0,0,0
"351",0.196,0,1,0,0,0,0,0
"352",0.444,0,1,0,0,0,0,0
"353",0.34,1,0,0,0,0,0,0
"354",0.412,0,1,0,0,0,0,0
"355",0.828,1,0,0,0,0,0,0
"356",0.664,0,1,0,0,0,0,0
"357",0.36,1,0,0,0,0,0,0
"358",0.272,1,0,0,0,0,0,0
"359",0.94,1,0,0,0,0,0,0
"360",0.396,1,0,0,0,0,0,0
"361",0.852,0,1,0,0,0,0,0
"362",0.756,1,0,0,0,0,0,0
"363",0.04,1,0,0,0,0,0,0
"364",0.096,1,0,0,0,0,0,0
"365",0.648,0,1,0,0,0,0,0
"366",0.332,1,0,0,0,0,0,0
"367",0.316,1,0,0,0,0,0,0
"368",0.808,0,1,0,0,0,0,0
"369",0.624,0,1,0,0,0,0,0
"370",0.708,0,1,0,0,0,0,0
"371",0.044,1,0,0,0,0,0,1
"372",0.616,1,0,0,0,0,0,0
"373",0.868,0,1,0,0,0,0,0
"374",0.52,0,1,0,0,0,0,0
"375",0.26,1,0,0,0,0,0,0
"376",0.412,0,1,0,0,0,0,0
"377",0.316,0,1,0,0,0,0,0
"378",0.484,1,0,0,0,0,0,0
"379",0.052,1,0,0,0,0,0,1
"380",0.972,0,1,0,0,0,0,0
"381",0.1,0,1,0,0,0,0,0
"382",0.512,1,0,0,0,0,0,0
"383",0.212,1,0,0,0,0,0,0
"384",0.628,0,1,0,0,0,0,0
"385",0.196,0,1,0,0,0,0,0
"386",0.588,1,0,0,0,0,0,0
"387",0.096,0,1,0,0,0,0,0
"388",0.92,0,1,0,0,0,0,0
"389",0.872,0,1,0,0,0,0,0
"390",0.676,1,0,0,0,0,0,0
"391",0.872,1,0,0,0,0,0,0
"392",0.44,1,0,0,0,0,0,0
"393",0.084,1,0,0,0,0,0,0
"394",0.876,0,1,0,0,0,0,0
"395",0.088,0,1,0,0,0,0,0
"396",0.568,1,0,0,0,0,0,0
"397",0.456,0,1,0,0,0,0,0
"398",0.852,1,0,0,0,0,0,0
"399",0.348,0,1,0,0,0,0,0
"400",0.756,0,1,0,0,0,0,0
