"","","","","","","","","bonf_res"
"1",0,1,0,0,0,0,0,1
"2",0,0,0,0,1,0,0,1
"3",0.00800000000000001,1,0,0,0,0,0,1
"4",0.036,0,1,0,0,0,0,1
"5",0.004,1,0,0,0,0,0,1
"6",0.02,0,1,0,0,0,0,1
"7",0.016,0,1,0,0,0,0,1
"8",0,1,0,0,0,0,0,1
"9",0,1,0,0,0,0,0,1
"10",0.004,1,0,0,0,0,0,1
"11",0.00800000000000001,0,0,0,0,0,1,1
"12",0.00800000000000001,0,0,1,0,0,0,1
"13",0.00800000000000001,0,0,0,1,0,0,1
"14",0.004,0,0,0,0,0,1,1
"15",0.044,0,0,0,1,0,0,1
"16",0.096,0,0,0,0,1,0,0
"17",0,0,0,0,0,1,0,1
"18",0,0,0,0,0,1,0,1
"19",0,0,1,0,0,0,0,1
"20",0,0,0,0,0,1,0,1
"21",0,0,0,1,0,0,0,1
"22",0,0,1,0,0,0,0,1
"23",0.004,0,0,0,0,0,1,1
"24",0,1,0,0,0,0,0,1
"25",0.004,0,1,0,0,0,0,1
"26",0,1,0,0,0,0,0,1
"27",0,1,0,0,0,0,0,1
"28",0.032,0,0,0,0,1,0,1
"29",0.00800000000000001,1,0,0,0,0,0,1
"30",0,0,1,0,0,0,0,1
"31",0,1,0,0,0,0,0,1
"32",0,1,0,0,0,0,0,1
"33",0,0,1,0,0,0,0,1
"34",0,0,1,0,0,0,0,1
"35",0,0,0,1,0,0,0,1
"36",0.08,1,0,0,0,0,0,1
"37",0,0,0,0,0,0,1,1
"38",0.004,0,0,1,0,0,0,1
"39",0.004,1,0,0,0,0,0,1
"40",0,0,0,1,0,0,0,1
"41",0.004,1,0,0,0,0,0,1
"42",0.00800000000000001,1,0,0,0,0,0,1
"43",0.004,0,0,0,0,0,1,1
"44",0,0,1,0,0,0,0,1
"45",0.016,0,1,0,0,0,0,1
"46",0,0,0,0,0,0,1,1
"47",0.00800000000000001,1,0,0,0,0,0,1
"48",0,0,0,0,0,1,0,1
"49",0,0,1,0,0,0,0,1
"50",0.016,1,0,0,0,0,0,1
"51",0,0,0,0,0,0,1,1
"52",0.048,0,0,1,0,0,0,1
"53",0,1,0,0,0,0,0,1
"54",0.024,0,1,0,0,0,0,1
"55",0.012,0,0,1,0,0,0,1
"56",0,1,0,0,0,0,0,1
"57",0,0,0,0,0,1,0,1
"58",0.032,1,0,0,0,0,0,1
"59",0,0,1,0,0,0,0,1
"60",0,1,0,0,0,0,0,1
"61",0.08,0,1,0,0,0,0,0
"62",0,1,0,0,0,0,0,1
"63",0,0,0,1,0,0,0,1
"64",0,0,0,1,0,0,0,1
"65",0.004,1,0,0,0,0,0,1
"66",0,0,0,0,0,0,1,1
"67",0,1,0,0,0,0,0,1
"68",0,0,1,0,0,0,0,1
"69",0.004,0,0,0,0,0,1,1
"70",0,0,0,0,0,0,1,1
"71",0,0,0,0,0,0,1,1
"72",0.004,1,0,0,0,0,0,1
"73",0.004,0,0,0,0,0,1,1
"74",0,0,0,1,0,0,0,1
"75",0.00800000000000001,1,0,0,0,0,0,1
"76",0.00800000000000001,1,0,0,0,0,0,0
"77",0,0,1,0,0,0,0,1
"78",0,0,0,0,0,0,1,1
"79",0.012,0,0,0,0,0,1,1
"80",0.004,0,0,0,0,1,0,1
"81",0.14,0,1,0,0,0,0,0
"82",0.024,1,0,0,0,0,0,1
"83",0,1,0,0,0,0,0,1
"84",0,0,0,0,0,0,1,1
"85",0,1,0,0,0,0,0,1
"86",0.12,0,0,1,0,0,0,0
"87",0.036,0,0,0,0,1,0,1
"88",0,1,0,0,0,0,0,1
"89",0.004,0,1,0,0,0,0,1
"90",0,0,1,0,0,0,0,1
"91",0,0,0,1,0,0,0,1
"92",0,0,0,0,0,1,0,1
"93",0,0,0,1,0,0,0,1
"94",0.004,0,0,1,0,0,0,1
"95",0,0,0,0,0,1,0,1
"96",0,1,0,0,0,0,0,1
"97",0,1,0,0,0,0,0,1
"98",0,1,0,0,0,0,0,1
"99",0,0,1,0,0,0,0,1
"100",0.104,1,0,0,0,0,0,1
"101",0,1,0,0,0,0,0,1
"102",0,1,0,0,0,0,0,1
"103",0,1,0,0,0,0,0,1
"104",0,0,1,0,0,0,0,1
"105",0.012,0,0,1,0,0,0,1
"106",0.004,0,1,0,0,0,0,1
"107",0.004,0,1,0,0,0,0,1
"108",0.004,0,0,1,0,0,0,1
"109",0,0,0,0,1,0,0,1
"110",0,1,0,0,0,0,0,1
"111",0,0,0,0,0,0,1,1
"112",0.016,0,0,0,1,0,0,1
